row_label_raw,row_label_full,col_0,Hoạt động khai thác trồng rừng,Kinh doanh thương mại gỗ,Bán thành phẩm sản xuất từ gỗ,Doanh thu cung cấp dịch vụ,Hoạt động kinh doanh bắt động sản,Khác,Loại trừ,Tổng cộng,numeric__Hoạt động khai thác trồng rừng,numeric__Kinh doanh thương mại gỗ,numeric__Bán thành phẩm sản xuất từ gỗ,numeric__Doanh thu cung cấp dịch vụ,numeric__Hoạt động kinh doanh bắt động sản,numeric__Khác,numeric__Loại trừ,numeric__Tổng cộng
Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,Cho giai đoạn tài chính kết thúc cùng ngày 31 tháng 12 năm 2022,,,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,98.640.371.469,914.154.577.548,715.995.174.620,126.507.355.059,35.008.117.848,57.010.446.186,-,1.947.316.042.730,98640371469.0,914154577548.0,715995174620.0,126507355059.0,35008117848.0,57010446186.0,,1947316042730.0
Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu thuần từ bán hàng cho các bộ phận,,,,,,1.239.651.228,(1.239.651.228),-,,,,,,1239651228.0,-1239651228.0,
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,98.640.371.469,914.154.577.548,715.995.174.620,126.507.355.059,35.008.117.848,58.250.097.413,(1.239.651.228),1.947.316.042.730,98640371469.0,914154577548.0,715995174620.0,126507355059.0,35008117848.0,58250097413.0,-1239651228.0,1947316042730.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,,
Lợi nhuận gộp của bộ phân,Kết quả > Lợi nhuận gộp của bộ phân,Lợi nhuận gộp của bộ phân,41.188.938.686,15.483.319.859,159.299.762.305,65.215.949.079,14.786.917.632,5.482.644.551,,301.457.532.112,41188938686.0,15483319859.0,159299762305.0,65215949079.0,14786917632.0,5482644551.0,,301457532112.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,,209.813.402.694,,,,,,,,209813402694.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,,511.270.934.806,,,,,,,,511270934806.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,,(27.245.948.898),,,,,,,,-27245948898.0
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,,,,357.709.235,,,,,,,,357709235.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,,484.382.695.143,,,,,,,,484382695143.0
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,,,,,
Tải sản bộ phân,Tải sản và công nợ > Tải sản bộ phân,Tải sản bộ phân,782.465.643.576,78.267.101.521,211.071.475.110,180.059.800.683,129.470.804.430,-,-,1.381.334.825.320,782465643576.0,78267101521.0,211071475110.0,180059800683.0,129470804430.0,,,1381334825320.0
Tải sản không phân bổ (ii),Tải sản và công nợ > Tải sản không phân bổ (ii),Tải sản không phân bổ (ii),,,,,,,,4.235.579.586.627,,,,,,,,4235579586627.0
Tổng tài sản,Tải sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,,,5.616.914.411.947,,,,,,,,5616914411947.0
Nợ phải trả bộ phân,Tải sản và công nợ > Nợ phải trả bộ phân,Nợ phải trả bộ phân,200.325.156.821,20.697.934.362,127.800.147.093,28.556.482.375,700.162.358,-,-,378.079.883.009,200325156821.0,20697934362.0,127800147093.0,28556482375.0,700162358.0,,,378079883009.0
Nợ phải trả không phân bổ (iii),Tải sản và công nợ > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,,195.937.714.017,,,,,,,,195937714017.0
