row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,312.424.820.528,511.270.934.806,312424820528.0,511270934806.0
Thuế TNDN theo thuế suất áp dụng cho Tổng,Thuế TNDN theo thuế suất áp dụng cho Tổng,Thuế TNDN theo thuế suất áp dụng cho Tổng,,,,
Công ty và các công ty con,Thuế TNDN theo thuế suất áp dụng cho Tổng > Công ty và các công ty con,Công ty và các công ty con,61.713.831.547,101.009.054.515,61713831547.0,101009054515.0
- Thuế suất 20%,Thuế TNDN theo thuế suất áp dụng cho Tổng > - Thuế suất 20%,- Thuế suất 20%,60.402.482.177,99.307.944.544,60402482177.0,99307944544.0
- Thuế suất 15%,Thuế TNDN theo thuế suất áp dụng cho Tổng > - Thuế suất 15%,- Thuế suất 15%,1.010.542.840,1.435.569.642,1010542840.0,1435569642.0
- Thuế suất 10%,Thuế TNDN theo thuế suất áp dụng cho Tổng > - Thuế suất 10%,- Thuế suất 10%,300.806.530,265.540.329,300806530.0,265540329.0
Các khoản điều chỉnh tăng/(giảm),Các khoản điều chỉnh tăng/(giảm),Các khoản điều chỉnh tăng/(giảm),,,,
Chi phí không được khấu trừ thuế khác,Các khoản điều chỉnh tăng/(giảm) > Chi phí không được khấu trừ thuế khác,Chi phí không được khấu trừ thuế khác,2.376.414.307,4.001.375.206,2376414307.0,4001375206.0
Ảnh hưởng của các điều chỉnh hợp nhất,Các khoản điều chỉnh tăng/(giảm) > Ảnh hưởng của các điều chỉnh hợp nhất,Ảnh hưởng của các điều chỉnh hợp nhất,(35.184.517.678),(77.974.098.002),-35184517678.0,-77974098002.0
Thu nhập từ hoạt động không thuộc diệnnộp thuế TNDN,Các khoản điều chỉnh tăng/(giảm) > Thu nhập từ hoạt động không thuộc diệnnộp thuế TNDN,Thu nhập từ hoạt động không thuộc diệnnộp thuế TNDN,(719.040.832),(1.120.382.958),-719040832.0,-1120382958.0
Lỗ chênh lệch tỷ giả chưa thực hiện dođánh giá lại tiền và các khoản phải thu,Các khoản điều chỉnh tăng/(giảm) > Lỗ chênh lệch tỷ giả chưa thực hiện dođánh giá lại tiền và các khoản phải thu,Lỗ chênh lệch tỷ giả chưa thực hiện dođánh giá lại tiền và các khoản phải thu,1.914.398.995,129.141.521,1914398995.0,129141521.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh tăng/(giảm) > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(317.437.323),(236.050.237),-317437323.0,-236050237.0
Chi phí lãi vay không được trừ theo Nghịđịnh 132,Các khoản điều chỉnh tăng/(giảm) > Chi phí lãi vay không được trừ theo Nghịđịnh 132,Chi phí lãi vay không được trừ theo Nghịđịnh 132,3.474.220.898,-,3474220898.0,
Tài sản thuế thu nhập hoãn lại liên quandền lỗ tính thuế trong năm chưa được ghi nhận,Các khoản điều chỉnh tăng/(giảm) > Tài sản thuế thu nhập hoãn lại liên quandền lỗ tính thuế trong năm chưa được ghi nhận,Tài sản thuế thu nhập hoãn lại liên quandền lỗ tính thuế trong năm chưa được ghi nhận,3.342.781.546,1.079.199.618,3342781546.0,1079199618.0
Chi phí thuế TNDN,Các khoản điều chỉnh tăng/(giảm) > Chi phí thuế TNDN,Chi phí thuế TNDN,36.600.651.460,26.888.239.663,36600651460.0,26888239663.0
