row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.380.030.521,43.672.791.426,(45.921.969.537),1.130.852.410,3380030521.0,43672791426.0,-45921969537.0,1130852410.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,5.246.144.885,33.250.258.324,(29.406.642.382),9.089.760.827,5246144885.0,33250258324.0,-29406642382.0,9089760827.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.308.660.414,8.579.797.925,(9.577.245.069),1.311.213.270,2308660414.0,8579797925.0,-9577245069.0,1311213270.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.214.189.370,20.055.255.735,(19.090.160.819),2.179.284.286,1214189370.0,20055255735.0,-19090160819.0,2179284286.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,133.101.713,534.405.589,(490.218.775),177.288.527,133101713.0,534405589.0,-490218775.0,177288527.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,12.282.126.903,106.092.508.999,(104.486.236.582),13.888.399.320,12282126903.0,106092508999.0,-104486236582.0,13888399320.0
,,,Số đầu năm,Số phải thu trong năm,Số đã thu trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.266.777.329,339.071.625,(955.456.099),650.392.855,1266777329.0,339071625.0,-955456099.0,650392855.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,218.134.211,603.195.587,(588.441.242),232.888.556,218134211.0,603195587.0,-588441242.0,232888556.0
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,3.857.974.017,-,3.857.974.017,,3857974017.0,,3857974017.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,26.063.955,18.087.449,(44.151.404),-,26063955.0,18087449.0,-44151404.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,1.510.975.495,4.818.328.678,(1.588.048.745),4.741.255.428,1510975495.0,4818328678.0,-1588048745.0,4741255428.0
