row_label_raw,row_label_full,col_0,MÃU B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),MÃU B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,MÃU B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,MÃU B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__MÃU B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__MÃU B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__MÃU B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__MÃU B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3
,,,MCHVND,MHVND,MNSVND,TổngVND,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,516.600.000.000,6.616.814.880.000,1.961.306.153.823,9.094.721.033.823,516600000000.0,6616814880000.0,1961306153823.0,9094721033823.0
Tăng các khoản đầu tư trong năm,Tăng các khoản đầu tư trong năm,Tăng các khoản đầu tư trong năm,-,5.333.185.120.000,-,5.333.185.120.000,,5333185120000.0,,5333185120000.0
Thanh lý,Thanh lý,Thanh lý,-,-,(8.297.140.011),(8.297.140.011),,,-8297140011.0,-8297140011.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,516.600.000.000,11.950.000.000.000,1.953.009.013.812,14.419.609.013.812,516600000000.0,11950000000000.0,1953009013812.0,14419609013812.0
