row_label_raw,row_label_full,col_0,Techcombank VND,numeric__Techcombank VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,7.989.232.239.897,7989232239897.0
Thanh lý,Thanh lý,Thanh lý,(3.610.395.162.261),-3610395162261.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.378.837.077.636,4378837077636.0
