row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,2017VND,2016VND,numeric__Tính chất giao dịch,numeric__2017VND,numeric__2016VND
Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Cổ tức,973.151.229.857,-,,973151229857.0,
Công ty Cổ phần MasanNutri-Science,Công ty Cổ phần MasanNutri-Science,Công ty Cổ phần MasanNutri-Science,Cổ tức,-,1.207.540.953.000,,,1207540953000.0
Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,
Công ty Cổ phần Tài nguyên Masan,Công ty con sở hữu gián tiếp > Công ty Cổ phần Tài nguyên Masan,Công ty Cổ phần Tài nguyên Masan,Cấn trừ nợ,-,85.000.000.000,,,85000000000.0
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty con sở hữu gián tiếp > Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Cấn trừ nợ,-,324.000.000.000,,,324000000000.0
Công ty TNHH Shika,Công ty con sở hữu gián tiếp > Công ty TNHH Shika,Công ty TNHH Shika,Khoản cho vay đã cấp bằng tiền,-,588.500.000.000,,,588500000000.0
Công ty TNHH Shika,Công ty con sở hữu gián tiếp > Công ty TNHH Shika,Công ty TNHH Shika,Khoản cho vay đã thu,-,1.402.000.000.000,,,1402000000000.0
Công ty TNHH Shika,Công ty con sở hữu gián tiếp > Công ty TNHH Shika,Công ty TNHH Shika,Thu nhập lãi cho vay,-,19.369.561.644,,,19369561644.0
Công ty Cổ phần Dinh dưỡng Nông nghiệpQuốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡng Nông nghiệpQuốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệpQuốc tế,Khoản vay nhận được,910.000.000.000,4.396.000.000.000,,910000000000.0,4396000000000.0
Công ty Cổ phần Dinh dưỡng Nông nghiệpQuốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡng Nông nghiệpQuốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệpQuốc tế,Khoản vay đã trả,369.000.000.000,4.000.000.000.000,,369000000000.0,4000000000000.0
Công ty Cổ phần Dinh dưỡng Nông nghiệpQuốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡng Nông nghiệpQuốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệpQuốc tế,Chi phí lãi vay,68.651.041.097,12.140.219.178,,68651041097.0,12140219178.0
Các bên liên quan khácTechcombank và các công ty con,Công ty con sở hữu gián tiếp > Các bên liên quan khácTechcombank và các công ty con,Các bên liên quan khácTechcombank và các công ty con,Trái phiếu phát hành (*),3.000.000.000.000,-,,3000000000000.0,
Ban quản lý chủ chốt,Công ty con sở hữu gián tiếp > Ban quản lý chủ chốt,Ban quản lý chủ chốt,Thù lao cho Ban quản lý chủ chốt (**),9.145.423.787,7.560.430.163,,9145423787.0,7560430163.0
