row_label_raw,row_label_full,col_0,Phần mềmvi tínhVND,numeric__Phần mềmvi tínhVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.614.742.903,4614742903.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,82.380.000,82380000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.697.122.903,4697122903.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.984.307.490,3984307490.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,497.979.573,497979573.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.482.287.063,4482287063.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,630.435.413,630435413.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,214.835.840,214835840.0
