row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Net profit after tax,Net profit after tax,Net profit after tax,"3,553,215,479,345","367,192,744,446",,
Profit distributed to common shares,Profit distributed to common shares,Profit distributed to common shares,"3,553,215,479,345","367,192,744,446",,
Average number of outstanding common shares in circulation in year,Average number of outstanding common shares in circulation in year,Average number of outstanding common shares in circulation in year,"404,632,543","367,985,968",,
Basic earnings per share,Average number of outstanding common shares in circulation in year > Basic earnings per share,Basic earnings per share,"8,781",998,8.781,998.0
