row_label_raw,row_label_full,col_0,Hợp đồng vay,Loại tiên,Lãi suất năm,Thời hạn vay,Ngày đáo hạn,Mục đích vay,Hình thức bảo đảm,31/12/2025 > VND,01/01/2025 > VND,numeric__Hợp đồng vay,numeric__Loại tiên,numeric__Lãi suất năm,numeric__Thời hạn vay,numeric__Ngày đáo hạn,numeric__Mục đích vay,numeric__Hình thức bảo đảm,numeric__31/12/2025 > VND,numeric__01/01/2025 > VND
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,390.000.000.000,-,,,,,,,,390000000000.0,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Ngô Quyền,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Ngô Quyền,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Ngô Quyền,"Hợp đồng cho vay dự án đầu tư số 01/2024-HĐCVDAT/NHT C168-BĐS CRV ngày 06/11/2024 và Văn bản sửa đổi, bổ sung hợp đồng cho vay dự án đầu tư số 01/SĐBS-01/2024-HĐCVDADT/NH CT168-BĐSCRV ngày 07/05/2025 ký giữa Ngân hàng TMCP Công Thương Việt Nam - CN Ngô Quyền và Công ty Cổ phần Tập đoàn Bất động sản CRV",VND,Theo từng GNN,54 tháng kể từ ngày giải ngân đầu tiên: ngày 18/11/2024,Đến hạn ngày 18/11/2029,Thanh toán cho giá trị đầu tư vào Dự án Hoàng Huy New City - II,(i),390.000.000.000,-,,,,,,,,390000000000.0,
