row_label_raw,row_label_full,col_0,Buildings and land-use rights,Total,numeric__Buildings and land-use rights,numeric__Total
,,,VND,VND,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,
Beginning balance,Beginning balance,Beginning balance,"501,705,503,503","501,705,503,503",,
- Increase due to business combination,- Increase due to business combination,- Increase due to business combination,"2,352,489,581,493","2,352,489,581,493",,
- Transfer from inventories to investment properties,- Transfer from inventories to investment properties,- Transfer from inventories to investment properties,"30,370,726,264","30,370,726,264",,
- Disposals,- Disposals,- Disposals,"(99,741,004,152)","(99,741,004,152)",,
- Decrease due to deterioration in value (*),- Decrease due to deterioration in value (*),- Decrease due to deterioration in value (*),"(19,109,296,003)","(19,109,296,003)",,
- Adjustment to provisional cost based on estimated final settlement,- Adjustment to provisional cost based on estimated final settlement,- Adjustment to provisional cost based on estimated final settlement,"(28,646,140,390)","(28,646,140,390)",,
Ending balance,Ending balance,Ending balance,"2,737,069,370,715","2,737,069,370,715",,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,
Beginning balance,Beginning balance,Beginning balance,"64,417,100,859","64,417,100,859",,
- Depreciation in the,- Depreciation in the,- Depreciation in the,"49,363,901,029","49,363,901,029",,
- Increase due to business combination,- Increase due to business combination,- Increase due to business combination,"75,661,839,502","75,661,839,502",,
- Disposals,- Disposals,- Disposals,"(24,843,262,652)","(24,843,262,652)",,
Ending balance,Ending balance,Ending balance,"164,599,578,738","164,599,578,738",,
Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,,
Beginning balance,Beginning balance,Beginning balance,"437,288,402,644","437,288,402,644",,
Ending balance,Ending balance,Ending balance,"2,572,469,791,977","2,572,469,791,977",,
