row_label_raw,row_label_full,col_0,Hoạt động kinh doanh Bắt động sản,Hoạt động thương mại,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động kinh doanh Bắt động sản,numeric__Hoạt động thương mại,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,,,
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,4.264.071.098.059,371.167.954.987,4.635.239.053.046,4264071098059.0,371167954987.0,4635239053046.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,2.340.612.461.399,,,2340612461399.0
Tổng Nợ phải trả,Tổng Nợ phải trả,Tổng Nợ phải trả,4.264.071.098.059,371.167.954.987,6.975.851.514.445,4264071098059.0,371167954987.0,6975851514445.0
