row_label_raw,row_label_full,col_0,Contributed capital,Share premium,Development and investment funds,Retained earnings,Non-Controlling Interest,Total,numeric__Contributed capital,numeric__Share premium,numeric__Development and investment funds,numeric__Retained earnings,numeric__Non-Controlling Interest,numeric__Total
,,,VND,VND,VND,VND,VND,VND,,,,,,
Beginning balance of the previous year,Beginning balance of the previous year,Beginning balance of the previous year,"3,471,607,130,000","1,976,351,645","19,572,915,034","943,307,442,384","64,817,038,327","4,501,280,877,390",,,,,,
Profit/(loss) for previous year,Profit/(loss) for previous year,Profit/(loss) for previous year,-,-,-,"367,192,744,446","1,422,991,386","368,615,735,832",,,,,,
Subsidiaries pay dividends to non-controlling shareholders,Subsidiaries pay dividends to non-controlling shareholders,Subsidiaries pay dividends to non-controlling shareholders,"208,252,550,000",-,-,"(208,252,550,000)",-,-,,,,,,
Profit distribution,Profit distribution,Profit distribution,-,-,-,-,"(6,879,139,891)","(6,879,139,891)",,,,,,
Other decrease,Other decrease,Other decrease,-,-,-,"(16,614,296,780)",-,"(16,614,296,780)",,,,,,
Ending balance of the previous year,Ending balance of the previous year,Ending balance of the previous year,"3,679,859,680,000","1,976,351,645","19,572,915,034","1,085,633,340,050","59,360,889,822","4,846,403,176,551",,,,,,
Beginning balance of current year,Beginning balance of current year,Beginning balance of current year,"3,679,859,680,000","1,976,351,645","19,572,915,034","1,085,633,340,050","59,360,889,822","4,846,403,176,551",,,,,,
Profit for current year,Profit for current year,Profit for current year,-,-,-,"3,553,215,479,345","(23,455,927,114)","3,529,759,552,231",,,,,,
Capital increase during the year (*),Capital increase during the year (*),Capital increase during the year (*),"640,000,000,000","159,946,000,000",-,-,-,"799,946,000,000",,,,,,
Dividend distribution by the subsidiary,Dividend distribution by the subsidiary,Dividend distribution by the subsidiary,-,-,-,-,"(197,745,944,000)","(197,745,944,000)",,,,,,
Consolidation of subsidiary,Consolidation of subsidiary,Consolidation of subsidiary,-,-,-,-,"8,776,596,649,429","8,776,596,649,429",,,,,,
Changes in ownership interests in subsidiaries,Changes in ownership interests in subsidiaries,Changes in ownership interests in subsidiaries,-,-,-,"(143,499,038,049)","(1,159,100,961,951)","(1,302,600,000,000)",,,,,,
Ending balance of current year,Ending balance of current year,Ending balance of current year,"4,319,859,680,000","161,922,351,645","19,572,915,034","4,495,349,781,346","7,455,654,706,186","16,452,359,434,211",,,,,,
