row_label_raw,row_label_full,col_0,Position,Year 2025,Year 2024,numeric__Position,numeric__Year 2025,numeric__Year 2024
Remuneration of key management persons,Remuneration of key management persons,Remuneration of key management persons,Remuneration of key management persons,VND,VND,,,
Remunceration of the Board of Directors,Remunceration of the Board of Directors,Remunceration of the Board of Directors,Remunceration of the Board of Directors,Remunceration of the Board of Directors,Remunceration of the Board of Directors,,,
- Do Huu Ha,- Do Huu Ha,- Do Huu Ha,Chairman of Board of Directors,"120,000,000","120,000,000",,,
- Do Huu Hau,- Do Huu Hau,- Do Huu Hau,Member of Board of Directors,"60,000,000","60,000,000",,,
- Nguyen Thi Ha,- Nguyen Thi Ha,- Nguyen Thi Ha,Member of Board of Directors,"60,000,000","60,000,000",,,
- Nguyen The Hung,- Nguyen The Hung,- Nguyen The Hung,Member of Board of Directors,"60,000,000","45,000,000",,,
- Nguyen Thi Kim Phung,- Nguyen Thi Kim Phung,- Nguyen Thi Kim Phung,Independent member of Board of Directors,"60,000,000","45,000,000",,,
,,,,"360,000,000","330,000,000",,,
Remuneration of Supervisory Board,Remuneration of Supervisory Board,Remuneration of Supervisory Board,Remuneration of Supervisory Board,Remuneration of Supervisory Board,Remuneration of Supervisory Board,,,
- Phung Thi Thu Huong,- Phung Thi Thu Huong,- Phung Thi Thu Huong,Head of the Supervisory Board,"60,000,000","60,000,000",,,
- Nguyen Trong Cuong,- Nguyen Trong Cuong,- Nguyen Trong Cuong,Member of the Supervisory Board,"36,000,000","36,000,000",,,
- Bui Thi Tra,- Bui Thi Tra,- Bui Thi Tra,Member of the Supervisory Board,"36,000,000","36,000,000",,,
,,,,"132,000,000","132,000,000",,,
"Salary, reward anh the other benefit of Director and the other managers","Salary, reward anh the other benefit of Director and the other managers","Salary, reward anh the other benefit of Director and the other managers","Salary, reward anh the other benefit of Director and the other managers","Salary, reward anh the other benefit of Director and the other managers","Salary, reward anh the other benefit of Director and the other managers",,,
- Nguyen The Hung,- Nguyen The Hung,- Nguyen The Hung,Director,"338,552,731","314,880,000",,,
- Ho Thi Xuan Hoa,- Ho Thi Xuan Hoa,- Ho Thi Xuan Hoa,Chief Accountant,"364,592,453","262,608,000",,,
,,,,"703,145,184","577,488,000",,,
