row_label_raw,row_label_full,col_0,01/01/2025,01/01/2025_1,During the year,During the year_1,31/12/2025,31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1,numeric__During the year,numeric__During the year_1,numeric__31/12/2025,numeric__31/12/2025_1
,,,Outstanding Balance,Amount can be paid,Increase,Decrease,Outstanding Balance,Amount can be paid,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,,,,,,
- Related parties,- Related parties,- Related parties,-,-,"348,920,579,960","348,920,579,960",-,-,,,,,,
+ Hoang Huy Investment Financial Services Joint Stock Company,+ Hoang Huy Investment Financial Services Joint Stock Company,+ Hoang Huy Investment Financial Services Joint Stock Company,-,-,"316,500,000,000","316,500,000,000",-,-,,,,,,
- Others,- Others,- Others,-,-,"32,420,579,960","32,420,579,960",-,-,,,,,,
+ Vietnam Technological and Commercial Joint Stock Bank,+ Vietnam Technological and Commercial Joint Stock Bank,+ Vietnam Technological and Commercial Joint Stock Bank,-,-,"19,420,579,960","19,420,579,960",-,-,,,,,,
+ Saigon Thuong Tin Commercial Joint Stock Bank – Hai Phong Branch,+ Saigon Thuong Tin Commercial Joint Stock Bank – Hai Phong Branch,+ Saigon Thuong Tin Commercial Joint Stock Bank – Hai Phong Branch,-,-,"13,000,000,000","13,000,000,000",-,-,,,,,,
,,,-,-,"348,920,579,960","348,920,579,960",-,-,,,,,,
b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,,,,,,
- Others,- Others,- Others,-,-,"882,823,114,758","492,823,114,758","390,000,000,000","390,000,000,000",,,,,,
+ Vietnam Joint Stock Commercial Bank for Industry and Trade – Ngo Quyen Branch,+ Vietnam Joint Stock Commercial Bank for Industry and Trade – Ngo Quyen Branch,+ Vietnam Joint Stock Commercial Bank for Industry and Trade – Ngo Quyen Branch,-,-,"882,823,114,758","492,823,114,758","390,000,000,000","390,000,000,000",,,,,,
,,,-,-,"882,823,114,758","492,823,114,758","390,000,000,000","390,000,000,000",,,,,,
Amounts payable for settlement within 12 months,Amounts payable for settlement within 12 months,Amounts payable for settlement within 12 months,-,-,-,-,-,-,,,,,,
Amount payable for settlement after 12 months,Amount payable for settlement after 12 months,Amount payable for settlement after 12 months,-,-,,,"390,000,000,000","390,000,000,000",,,,,,
