row_label_raw,row_label_full,Related Party,Relationship,numeric__Relationship
Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services Joint Stock Company,Parent company,
CRV Real Estate Group Joint Stock Company,CRV Real Estate Group Joint Stock Company,CRV Real Estate Group Joint Stock Company,"Associate company as of June 12, 2025",
"Members of the Board of Directors, the Management, the Supervisory Board, and persons related to these members","Members of the Board of Directors, the Management, the Supervisory Board, and persons related to these members","Members of the Board of Directors, the Management, the Supervisory Board, and persons related to these members",,
