row_label_raw,row_label_full,col_0,Opening receivableVND,Opening payablesVND,Increase from business combinationVND,Payables in the periodVND,Actual payment in the periodVND,Closing receivablesVND,Closing payablesVND,numeric__Opening receivableVND,numeric__Opening payablesVND,numeric__Increase from business combinationVND,numeric__Payables in the periodVND,numeric__Actual payment in the periodVND,numeric__Closing receivablesVND,numeric__Closing payablesVND
- Value-added tax,- Value-added tax,- Value-added tax,"233,856,158",-,"3,015,211,803","191,155,059,421","191,753,698,839","2,047,842,829","4,230,559,056",,,,,,,
"- Export, import duties","- Export, import duties","- Export, import duties",-,-,-,"94,945,358,641","94,945,358,641",-,-,,,,,,,
- Corporate income tax,- Corporate income tax,- Corporate income tax,-,"7,341,778,376","7,763,820,917","75,695,173,413","93,711,520,302","15,086,515,255","12,175,767,659",,,,,,,
- Personal income tax,- Personal income tax,- Personal income tax,-,"102,574,782","89,104,053","6,517,601,947","6,501,945,884","5,672,447","213,007,345",,,,,,,
- Land tax and land rental,- Land tax and land rental,- Land tax and land rental,-,-,"(4,814,870)","5,113,582,671","5,113,582,671","4,814,870",-,,,,,,,
- Other taxes,- Other taxes,- Other taxes,-,-,-,"44,733,334","44,733,334",-,-,,,,,,,
"- Fees, charges and other payables","- Fees, charges and other payables","- Fees, charges and other payables",-,-,-,"5,855,022,152","3,947,979,027",-,"1,907,043,125",,,,,,,
,,,"233,856,158","7,444,353,158","10,863,321,903","379,326,531,579","396,018,818,698","17,144,845,401","18,526,377,185",,,,,,,
