row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.471.607.130.000,1.976.351.645,19.572.915.034,943.307.442.384,64.817.038.327,4.501.280.877.390,3471607130000.0,1976351645.0,19572915034.0,943307442384.0,64817038327.0,4501280877390.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,367.192.744.446,1.422.991.386,368.615.735.832,,,,367192744446.0,1422991386.0,368615735832.0
Công ty con chia cổ tức cho cổ đông không kiểm soát,Công ty con chia cổ tức cho cổ đông không kiểm soát,Công ty con chia cổ tức cho cổ đông không kiểm soát,208.252.550.000,-,-,(208.252.550.000),-,-,208252550000.0,,,-208252550000.0,,
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,(6.879.139.891),(6.879.139.891),,,,,-6879139891.0,-6879139891.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(16.614.296.780),-,(16.614.296.780),,,,-16614296780.0,,-16614296780.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.679.859.680.000,1.976.351.645,19.572.915.034,1.085.633.340.050,59.360.889.822,4.846.403.176.551,3679859680000.0,1976351645.0,19572915034.0,1085633340050.0,59360889822.0,4846403176551.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.679.859.680.000,1.976.351.645,19.572.915.034,1.085.633.340.050,59.360.889.822,4.846.403.176.551,3679859680000.0,1976351645.0,19572915034.0,1085633340050.0,59360889822.0,4846403176551.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,3.553.215.479.345,(23.455.927.114),3.529.759.552.231,,,,3553215479345.0,-23455927114.0,3529759552231.0
Tăng vốn trong kỳ này (*),Tăng vốn trong kỳ này (*),Tăng vốn trong kỳ này (*),640.000.000.000,159.946.000.000,-,-,-,799.946.000.000,640000000000.0,159946000000.0,,,,799946000000.0
Công ty con chia cổ tức cho cổ đông không kiểm soát,Công ty con chia cổ tức cho cổ đông không kiểm soát,Công ty con chia cổ tức cho cổ đông không kiểm soát,-,-,-,-,(197.745.944.000),(197.745.944.000),,,,,-197745944000.0,-197745944000.0
Hợp nhất công ty con,Hợp nhất công ty con,Hợp nhất công ty con,-,-,-,-,8.776.596.649.429,8.776.596.649.429,,,,,8776596649429.0,8776596649429.0
Thay đổi tỷ lệ lợi ích tại công ty con,Thay đổi tỷ lệ lợi ích tại công ty con,Thay đổi tỷ lệ lợi ích tại công ty con,-,-,-,(143.499.038.049),(1.159.100.961.951),(1.302.600.000.000),,,,-143499038049.0,-1159100961951.0,-1302600000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.319.859.680.000,161.922.351.645,19.572.915.034,4.495.349.781.346,7.455.654.706.186,16.452.359.434.211,4319859680000.0,161922351645.0,19572915034.0,4495349781346.0,7455654706186.0,16452359434211.0
