row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Owner's contributed capital,Owner's contributed capital,Owner's contributed capital,Owner's contributed capital,Owner's contributed capital,,
- At the beginning of the year,- At the beginning of the year,- At the beginning of the year,"3,679,859,680,000","3,471,607,130,000",,
- Increase in the year,- Increase in the year,- Increase in the year,"640,000,000,000","208,252,550,000",,
- At the end of the year,- At the end of the year,- At the end of the year,"4,319,859,680,000","3,679,859,680,000",,
Distributed dividends and profit:,Distributed dividends and profit:,Distributed dividends and profit:,Distributed dividends and profit:,Distributed dividends and profit:,,
- Dividend payment from last year's profit,- Dividend payment from last year's profit,- Dividend payment from last year's profit,-,-,,
- Estimated dividend payment from this year's profit,- Estimated dividend payment from this year's profit,- Estimated dividend payment from this year's profit,-,-,,
d) Share,d) Share,d) Share,d) Share,d) Share,,
,,,31/12/2025,01/01/2025,,
Quantity of Authorized issuing shares,Quantity of Authorized issuing shares,Quantity of Authorized issuing shares,"431,985,968","367,985,968",,
Quantity of issued shares,Quantity of issued shares,Quantity of issued shares,"431,985,968","367,985,968",,
- Common shares,- Common shares,- Common shares,"431,985,968","367,985,968",,
Quantity of outstanding shares in circulation,Quantity of outstanding shares in circulation,Quantity of outstanding shares in circulation,"431,985,968","367,985,968",,
- Common shares,- Common shares,- Common shares,"431,985,968","367,985,968",,
Par value per share: (VND):,- Common shares > Par value per share: (VND):,Par value per share: (VND):,"10,000","10,000",10.0,10.0
e) The Company's reserves,e) The Company's reserves,e) The Company's reserves,e) The Company's reserves,e) The Company's reserves,,
,,,31/12/2025,01/01/2025,,
,,,VND,VND,,
- Development and investment funds,- Development and investment funds,- Development and investment funds,"19,572,915,034","19,572,915,034",,
,,,"19,572,915,034","19,572,915,034",,
