row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn",TSCĐ dùngtrong quản lý,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.416.677.725,3.762.238.587,20.571.744.899,686.130.162,32.436.791.373,7416677725.0,3762238587.0,20571744899.0,686130162.0,32436791373.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,8.081.256.000,112.087.963,8.193.343.963,,,8081256000.0,112087963.0,8193343963.0
- Tăng do Hợp nhấtkinh doanh,Nguyên giá > - Tăng do Hợp nhấtkinh doanh,- Tăng do Hợp nhấtkinh doanh,271.466.198.801,-,13.195.857.592,947.898.089,285.609.954.482,271466198801.0,,13195857592.0,947898089.0,285609954482.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,200.910,-,-,-,200.910,200910.0,,,,200910.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(6.749.225.455),-,(6.749.225.455),,,-6749225455.0,,-6749225455.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(6.616.186.676),-,-,-,(6.616.186.676),-6616186676.0,,,,-6616186676.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,272.266.890.760,3.762.238.587,35.099.633.036,1.746.116.214,312.874.878.597,272266890760.0,3762238587.0,35099633036.0,1746116214.0,312874878597.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.971.727.177,1.963.864.348,2.568.063.539,662.138.376,7.165.793.440,1971727177.0,1963864348.0,2568063539.0,662138376.0,7165793440.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,3.383.261.009,320.058.696,3.602.573.811,135.847.681,7.441.741.197,3383261009.0,320058696.0,3602573811.0,135847681.0,7441741197.0
- Tăng do Hợp nhấtkinh doanh,Giá trị hao mòn lũy kế > - Tăng do Hợp nhấtkinh doanh,- Tăng do Hợp nhấtkinh doanh,12.086.081.998,-,1.503.973.294,135.871.892,13.725.927.184,12086081998.0,,1503973294.0,135871892.0,13725927184.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.259.540.558),-,(1.259.540.558),,,-1259540558.0,,-1259540558.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(88.802.586),-,-,-,(88.802.586),-88802586.0,,,,-88802586.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,17.352.267.598,2.283.923.044,6.415.070.086,933.857.949,26.985.118.677,17352267598.0,2283923044.0,6415070086.0,933857949.0,26985118677.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,5.444.950.548,1.798.374.239,18.003.681.360,23.991.786,25.270.997.933,5444950548.0,1798374239.0,18003681360.0,23991786.0,25270997933.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,254.914.623.162,1.478.315.543,28.684.562.950,812.258.265,285.889.759.920,254914623162.0,1478315543.0,28684562950.0,812258265.0,285889759920.0
