row_label_raw,row_label_full,col_0,Chức vụ,Năm 2025,Năm 2024,numeric__Chức vụ,numeric__Năm 2025,numeric__Năm 2024
,,,Chức vụ,VND,VND,,,
Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,,,
Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,,,
- Đỗ Hữu Hạ,Thù lao thành viên Hội đồng quản trị > - Đỗ Hữu Hạ,- Đỗ Hữu Hạ,Chủ tịch HDQT,120.000.000,120.000.000,,120000000.0,120000000.0
- Đỗ Hữu Hậu,Thù lao thành viên Hội đồng quản trị > - Đỗ Hữu Hậu,- Đỗ Hữu Hậu,Thành viên HDQT,60.000.000,60.000.000,,60000000.0,60000000.0
- Nguyễn Thị Hà,Thù lao thành viên Hội đồng quản trị > - Nguyễn Thị Hà,- Nguyễn Thị Hà,Thành viên HDQT,60.000.000,60.000.000,,60000000.0,60000000.0
- Nguyễn Thế Hùng,Thù lao thành viên Hội đồng quản trị > - Nguyễn Thế Hùng,- Nguyễn Thế Hùng,Thành viên HDQT,60.000.000,45.000.000,,60000000.0,45000000.0
- Nguyễn Thị Kim Phụng,Thù lao thành viên Hội đồng quản trị > - Nguyễn Thị Kim Phụng,- Nguyễn Thị Kim Phụng,Thành viên độc lập HDQT,60.000.000,45.000.000,,60000000.0,45000000.0
,,,,360.000.000,330.000.000,,360000000.0,330000000.0
Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,,,
- Phòng Thị Thu Hương,Thù lao thành viên Ban kiểm soát > - Phòng Thị Thu Hương,- Phòng Thị Thu Hương,Trưởng Ban kiểm soát,60.000.000,60.000.000,,60000000.0,60000000.0
- Nguyễn Trọng Cường,Thù lao thành viên Ban kiểm soát > - Nguyễn Trọng Cường,- Nguyễn Trọng Cường,Thành viên Ban kiểm soát,36.000.000,36.000.000,,36000000.0,36000000.0
- Bùi Thị Trà,Thù lao thành viên Ban kiểm soát > - Bùi Thị Trà,- Bùi Thị Trà,Thành viên Ban kiểm soát,36.000.000,36.000.000,,36000000.0,36000000.0
,,,,132.000.000,132.000.000,,132000000.0,132000000.0
"Tiền lương, thưởng của Giám đốc","Tiền lương, thưởng của Giám đốc","Tiền lương, thưởng của Giám đốc","Tiền lương, thưởng của Giám đốc","Tiền lương, thưởng của Giám đốc","Tiền lương, thưởng của Giám đốc",,,
- Nguyễn Thế Hùng,"Tiền lương, thưởng của Giám đốc > - Nguyễn Thế Hùng",- Nguyễn Thế Hùng,Giám đốc,338.552.731,314.880.000,,338552731.0,314880000.0
- Hồ Thị Xuân Hòa,"Tiền lương, thưởng của Giám đốc > - Hồ Thị Xuân Hòa",- Hồ Thị Xuân Hòa,Kế toán trưởng,364.592.453,262.608.000,,364592453.0,262608000.0
,,,,703.145.184,577.488.000,,703145184.0,577488000.0
