row_label_raw,row_label_full,col_0,col_1,Year 2025,Year 2024,numeric__col_1,numeric__Year 2025,numeric__Year 2024
,,,,VND,VND,,,
Financial revenue,Financial revenue,Financial revenue,Related Party,"196,337,403,000","29,304,090,000",,,
Hoang Huy Investment Services Joint Stock Company,Hoang Huy Investment Services Joint Stock Company,Hoang Huy Investment Services Joint Stock Company,CRV Real Estate Group Joint Stock Company,"158,435,355,600","23,647,068,000",,,
Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,CRV Real Estate Group Joint Stock Company,"37,902,047,400","5,657,022,000",,,
Financial expenses,Financial expenses,Financial expenses,Related Party,"847,383,562",-,,,
Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services Joint Stock Company,CRV Real Estate Group Joint Stock Company (for the period from 12 June 2025 to 31 December 2025),"847,383,562",-,,,
Dividend distribution,Dividend distribution,Dividend distribution,Related Party,"153,663,163,200",-,,,
Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services Joint Stock Company,CRV Real Estate Group Joint Stock Company (from 12/06/2025 to 31/12/2025),"153,663,163,200",-,,,
