row_label_raw,row_label_full,col_0,31/12/2025,31/12/2025_1,31/12/2025_2,31/12/2025_3,01/01/2025,01/01/2025_1,01/01/2025_2,numeric__31/12/2025,numeric__31/12/2025_1,numeric__31/12/2025_2,numeric__31/12/2025_3,numeric__01/01/2025,numeric__01/01/2025_1,numeric__01/01/2025_2
,,,Address,Proportion of ownership,Proportion of voting rights,Book value under the equity method,Proportion of ownership,Proportion of voting rights,Book value under the equity method,,,,,,,
,,,,%,%,VND,%,%,VND,,,,,,,
CRV Real Estate Group Joint Stock Company,CRV Real Estate Group Joint Stock Company,CRV Real Estate Group Joint Stock Company,Ha Noi,,,,43.56%,43.58%,"3,420,528,071,464",,,,,43.56,43.58,
,,,,,,-,,,"3,420,528,071,464",,,,,,,
