row_label_raw,row_label_full,col_0,Real Estate Business Activities,Trading Activities,Grand Total,numeric__Real Estate Business Activities,numeric__Trading Activities,numeric__Grand Total
,,,VND,VND,VND,,,
Net revenue from sales to external customers,Net revenue from sales to external customers,Net revenue from sales to external customers,"193,157,600,049","699,602,810,860","892,760,410,909",,,
Gross profit from business activities,Gross profit from business activities,Gross profit from business activities,"(84,421,504,838)","107,547,503,348","23,125,998,510",,,
