row_label_raw,row_label_full,col_0,Real Estate Business Activities,Trading Activities,Grand Total,numeric__Real Estate Business Activities,numeric__Trading Activities,numeric__Grand Total
,,,VND,VND,VND,,,
The total cost of acquisition of fixed assets,The total cost of acquisition of fixed assets,The total cost of acquisition of fixed assets,The total cost of acquisition of fixed assets,The total cost of acquisition of fixed assets,The total cost of acquisition of fixed assets,,,
Segment assets,Segment assets,Segment assets,"18,977,978,615,426","406,012,611,706","19,383,991,227,132",,,
Unallocated assets,Unallocated assets,Unallocated assets,,,"4,044,219,721,524",,,
Total assets,Total assets,Total assets,"18,977,978,615,426","406,012,611,706","23,428,210,948,656",,,
Segment liabilities,Segment liabilities,Segment liabilities,"4,264,071,098,059","371,167,954,987","4,635,239,053,046",,,
Unallocated liabilities,Unallocated liabilities,Unallocated liabilities,,,"2,340,612,461,399",,,
Total liabilities,Total liabilities,Total liabilities,"4,264,071,098,059","371,167,954,987","6,975,851,514,445",,,
