row_label_raw,row_label_full,col_0,Nhà và Quyềnsử dụng đất,Cộng,numeric__Nhà và Quyềnsử dụng đất,numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,501.705.503.503,501.705.503.503,501705503503.0,501705503503.0
- Tăng do hợp nhất kinh doanh,Nguyên giá > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,2.352.489.581.493,2.352.489.581.493,2352489581493.0,2352489581493.0
"- Chuyển căn hộ, sản thương mại để bán sang cho thuê","Nguyên giá > - Chuyển căn hộ, sản thương mại để bán sang cho thuê","- Chuyển căn hộ, sản thương mại để bán sang cho thuê",30.370.726.264,30.370.726.264,30370726264.0,30370726264.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(99.741.004.152),(99.741.004.152),-99741004152.0,-99741004152.0
- Giảm do suy giảm giá trị (*),Nguyên giá > - Giảm do suy giảm giá trị (*),- Giảm do suy giảm giá trị (*),(19.109.296.003),(19.109.296.003),-19109296003.0,-19109296003.0
- Điều chỉnh nguyên giá bất động sản tạm tính theo giá trị quyết toán dự kiến,Nguyên giá > - Điều chỉnh nguyên giá bất động sản tạm tính theo giá trị quyết toán dự kiến,- Điều chỉnh nguyên giá bất động sản tạm tính theo giá trị quyết toán dự kiến,(28.646.140.390),(28.646.140.390),-28646140390.0,-28646140390.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.737.069.370.715,2.737.069.370.715,2737069370715.0,2737069370715.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,64.417.100.859,64.417.100.859,64417100859.0,64417100859.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,49.363.901.029,49.363.901.029,49363901029.0,49363901029.0
- Tăng do Hợp nhất kinh doanh,Giá trị hao mòn lũy kế > - Tăng do Hợp nhất kinh doanh,- Tăng do Hợp nhất kinh doanh,75.661.839.502,75.661.839.502,75661839502.0,75661839502.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(24.843.262.652),(24.843.262.652),-24843262652.0,-24843262652.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,164.599.578.738,164.599.578.738,164599578738.0,164599578738.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,437.288.402.644,437.288.402.644,437288402644.0,437288402644.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,2.572.469.791.977,2.572.469.791.977,2572469791977.0,2572469791977.0
