row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2025VND,Năm 2024VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2025VND,numeric__Năm 2024VND
24,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,2.009.070.660.326,1.133.903.326.085,,,2009070660326.0,1133903326085.0
25,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(365.564.700.882),-,,,-365564700882.0,
27,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,257.765.728.392,66.909.105.175,,,257765728392.0,66909105175.0
30,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(1.413.217.581.209),(311.889.311.155),,,-1413217581209.0,-311889311155.0
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 31,31,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ chủ sở hữu",,799.946.000.000,-,,,799946000000.0,
33,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 33,33,Tiền thu từ đi vay,,(439.902.534.798),-,,,-439902534798.0,
34,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,Tiền trả nợ gốc vay,,(19.420.579.960),-,,,-19420579960.0,
36,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 36,36,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu và cổ đông không kiểm soát",,(197.745.944.000),(12.357.884),,,-197745944000.0,-12357884.0
40,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,142.876.941.242,(12.357.884),,,142876941242.0,-12357884.0
50,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,,718.059.999.419,(21.288.440.525),,,718059999419.0,-21288440525.0
