row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
"Gain from liquidation, disposal of fixed assets","Gain from liquidation, disposal of fixed assets","Gain from liquidation, disposal of fixed assets",-,"3,982,000",,
Income from showroom construction support,Income from showroom construction support,Income from showroom construction support,-,"2,398,746,150",,
Income from goods received as gifts,Income from goods received as gifts,Income from goods received as gifts,"6,286,658,150",-,,
Income from investment cooperation and telecommunication service operations,Income from investment cooperation and telecommunication service operations,Income from investment cooperation and telecommunication service operations,"320,998,068",-,,
Penalty income,Penalty income,Penalty income,"2,721,774,559","115,758,176",,
Reversal of construction warranty provision,Reversal of construction warranty provision,Reversal of construction warranty provision,"60,270,334","1,468,072,603",,
Sales incentives income,Sales incentives income,Sales incentives income,-,"5,511,422,302",,
Others,Others,Others,"3,528,437,658","891,607,254",,
,,,"12,918,138,769","10,389,588,485",,
