row_label_raw,row_label_full,Mrs. Phung Thi Thu Huong,Head of the Supervisory Board,numeric__Head of the Supervisory Board
Mr. Nguyen Trong Cuong,Mr. Nguyen Trong Cuong,Mr. Nguyen Trong Cuong,Member,
Mrs. Bui Thi Tra,Mrs. Bui Thi Tra,Mrs. Bui Thi Tra,Member,
