row_label_raw,row_label_full,Biến động của khoản đầu tư vào công ty liên kết trong kỳ như sau:,Biến động của khoản đầu tư vào công ty liên kết trong kỳ như sau:_1,Biến động của khoản đầu tư vào công ty liên kết trong kỳ như sau:_2,numeric__Biến động của khoản đầu tư vào công ty liên kết trong kỳ như sau:_1,numeric__Biến động của khoản đầu tư vào công ty liên kết trong kỳ như sau:_2
,,,Năm 2025,Năm 2024,,
,,,VND,VND,,
Số dư đầu kỳ,Số dư đầu kỳ,Số dư đầu kỳ,3.420.528.071.464,3.128.859.858.789,3420528071464.0,3128859858789.0
- Phần lãi hoặc lỗ trong công ty liên kết,- Phần lãi hoặc lỗ trong công ty liên kết,- Phần lãi hoặc lỗ trong công ty liên kết,(130.228.285.535),291.668.212.675,-130228285535.0,291668212675.0
+ Lãi từ công ty liên kết,+ Lãi từ công ty liên kết,+ Lãi từ công ty liên kết,66.109.117.465,320.972.302.675,66109117465.0,320972302675.0
+ Lợi nhuận đã nhận từ công ty liên kết (Thuyết minh 27),+ Lợi nhuận đã nhận từ công ty liên kết (Thuyết minh 27),+ Lợi nhuận đã nhận từ công ty liên kết (Thuyết minh 27),(196.337.403.000),(29.304.090.000),-196337403000.0,-29304090000.0
- Hợp nhất kinh doanh công ty liên kết (Thuyết minh 3.1),- Hợp nhất kinh doanh công ty liên kết (Thuyết minh 3.1),- Hợp nhất kinh doanh công ty liên kết (Thuyết minh 3.1),(3.290.299.785.929),-,-3290299785929.0,
Số dư cuối kỳ,Số dư cuối kỳ,Số dư cuối kỳ,-,3.420.528.071.464,,3420528071464.0
