row_label_raw,row_label_full,col_0,Land use rights (*),Computer software,Promotional programs,Total,numeric__Land use rights (*),numeric__Computer software,numeric__Promotional programs,numeric__Total
,,,VND,VND,VND,VND,,,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,,,
Beginning balance,Beginning balance,Beginning balance,"3,520,000,000",-,-,"3,520,000,000",,,,
- Additions,- Additions,- Additions,-,"260,000,000","2,788,000,000","3,048,000,000",,,,
Ending balance,Ending balance,Ending balance,"3,520,000,000","260,000,000","2,788,000,000","6,568,000,000",,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,
Beginning balance,Beginning balance,Beginning balance,-,-,-,-,,,,
- Depreciation in the year,- Depreciation in the year,- Depreciation in the year,-,"12,999,999","169,833,334","182,833,333",,,,
Ending balance,Ending balance,Ending balance,-,"12,999,999","169,833,334","182,833,333",,,,
Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,,,,
Beginning balance,Beginning balance,Beginning balance,"3,520,000,000",-,-,"3,520,000,000",,,,
Ending balance,Ending balance,Ending balance,"3,520,000,000","247,000,001","2,618,166,666","6,385,166,667",,,,
