row_label_raw,row_label_full,Diễn giải,Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát VND,numeric__Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát VND
Tài sản,Tài sản,Tài sản,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,936.983.299.118,936983299118.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,251.395.123.288,251395123288.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,617.327.834.200,617327834200.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,14.857.065.630.132,14857065630132.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,67.273.251.280,67273251280.0
Tài sản cố định hữu hình (thuẩn),Tài sản > Tài sản cố định hữu hình (thuẩn),Tài sản cố định hữu hình (thuẩn),271.884.027.298,271884027298.0
Bất động sản đầu tư (thuẩn),Tài sản > Bất động sản đầu tư (thuẩn),Bất động sản đầu tư (thuẩn),2.276.827.741.991,2276827741991.0
Chi phí trả trước dài hạn,Tài sản > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,32.134.972.122,32134972122.0
Xây dựng cơ bản dở dang,Tài sản > Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,1.377.360.000,1377360000.0
Các tài sản khác,Tài sản > Các tài sản khác,Các tài sản khác,2.432.771.307,2432771307.0
Cộng Tài sản,Tài sản > Cộng Tài sản,Cộng Tài sản,19.314.702.010.736,19314702010736.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,
Nợ phải trả ngắn hạn,Nợ phải trả > Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,992.455.894.619,992455894619.0
Nợ phải trả dài hạn,Nợ phải trả > Nợ phải trả dài hạn,Nợ phải trả dài hạn,582.823.114.758,582823114758.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,2.183.861.911.215,2183861911215.0
Cộng Nợ phải trả,Nợ phải trả > Cộng Nợ phải trả,Cộng Nợ phải trả,3.759.140.920.592,3759140920592.0
Tổng giá trị tài sản thuần,Nợ phải trả > Tổng giá trị tài sản thuần,Tổng giá trị tài sản thuần,15.555.561.090.144,15555561090144.0
Lợi ích của Cổ đông không kiểm soát,Nợ phải trả > Lợi ích của Cổ đông không kiểm soát,Lợi ích của Cổ đông không kiểm soát,8.776.544.649.429,8776544649429.0
Tổng giá trị tài sản thuần tương ứng lợi ích của Tập đoàn,Nợ phải trả > Tổng giá trị tài sản thuần tương ứng lợi ích của Tập đoàn,Tổng giá trị tài sản thuần tương ứng lợi ích của Tập đoàn,6.779.016.440.715,6779016440715.0
Tổng giá phí của khoản đầu tư này,Nợ phải trả > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,6.779.016.440.715,6779016440715.0
Giá trị hợp lý của khoản đầu tư ban đầu theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,Nợ phải trả > Giá trị hợp lý của khoản đầu tư ban đầu theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,Giá trị hợp lý của khoản đầu tư ban đầu theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,3.290.299.785.929,3290299785929.0
Giá trị lãi do giao dịch mua được phần ánh vào BCTC hợp nhất tại ngày đạt được quyền kiểm soát (Thuyết minh số 27),Nợ phải trả > Giá trị lãi do giao dịch mua được phần ánh vào BCTC hợp nhất tại ngày đạt được quyền kiểm soát (Thuyết minh số 27),Giá trị lãi do giao dịch mua được phần ánh vào BCTC hợp nhất tại ngày đạt được quyền kiểm soát (Thuyết minh số 27),3.488.716.654.786,3488716654786.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,-,
Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh,,
Tiền thu về từ hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh > Tiền thu về từ hợp nhất kinh doanh,Tiền thu về từ hợp nhất kinh doanh,936.983.299.118,936983299118.0
Tiền chi để hợp nhất kinh doanh,Tiền chi để hợp nhất kinh doanh,Tiền chi để hợp nhất kinh doanh,-,
Tiền chi thuần để hợp nhất kinh doanh,Tiền chi để hợp nhất kinh doanh > Tiền chi thuần để hợp nhất kinh doanh,Tiền chi thuần để hợp nhất kinh doanh,(936.983.299.118),-936983299118.0
