row_label_raw,row_label_full,Mr.,Do Huu Ha,Chairman of the Board of Directors,numeric__Do Huu Ha,numeric__Chairman of the Board of Directors
Mr.,Mr.,Mr.,Do Huu Hau,Member,,
Mrs.,Mrs.,Mrs.,Nguyen Thi Ha,Member,,
Mr.,Mr.,Mr.,Nguyen The Hung,Member,,
Mrs.,Mrs.,Mrs.,Nguyen Thi Kim Phung,Independent Member,,
