row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối(lỗ lũy kế),Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối(lỗ lũy kế),numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,109.567.040.000,115.489.262.500,-,449.146.077.819,674.202.380.319,109567040000.0,115489262500.0,,449146077819.0,674202380319.0
Phát hành cổ phiếu riêng lẻ,Năm trước: > Phát hành cổ phiếu riêng lẻ,Phát hành cổ phiếu riêng lẻ,6.851.120.000,5.015.510.000,-,-,11.866.630.000,6851120000.0,5015510000.0,,,11866630000.0
Phát hành cổ phiếu thưởng,Năm trước: > Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,119.876.180.000,(119.876.180.000),-,-,-,119876180000.0,-119876180000.0,,,
Phát hành cổ phiếu trả cổ tức 2013,Năm trước: > Phát hành cổ phiếu trả cổ tức 2013,Phát hành cổ phiếu trả cổ tức 2013,829.962.270.000,-,-,(829.962.270.000),-,829962270000.0,,,-829962270000.0,
Phát hành cổ phiếu ESOP,Năm trước: > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,53.311.180.000,-,-,(53.311.180.000),-,53311180000.0,,,-53311180000.0,
Mua lại cổ phiếu,Năm trước: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(300.394.500),-,(300.394.500),,,-300394500.0,,-300394500.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước: > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(5.000.000.000),(5.000.000.000),,,,-5000000000.0,-5000000000.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,441.940.361.809,441.940.361.809,,,,441940361809.0,441940361809.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,1.119.567.790.000,628.592.500,(300.394.500),2.812.989.628,1.122.708.977.628,1119567790000.0,628592500.0,-300394500.0,2812989628.0,1122708977628.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.119.567.790.000,628.592.500,(300.394.500),2.812.989.628,1.122.708.977.628,1119567790000.0,628592500.0,-300394500.0,2812989628.0,1122708977628.0
Phát hành cổ phiếu thưởng,Năm nay: > Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,279.471.970.000,-,-,(279.471.970.000),-,279471970000.0,,,-279471970000.0,
Phát hành cổ phiếu ESOP,Năm nay: > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,69.849.980.000,-,-,(69.849.980.000),-,69849980000.0,,,-69849980000.0,
Mua lại cổ phiếu,Năm nay: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(2.153.900.000),-,(2.153.900.000),,,-2153900000.0,,-2153900000.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,284.578.749.930,284.578.749.930,,,,284578749930.0,284578749930.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,1.468.889.740.000,628.592.500,(2.454.294.500),(61.930.210.442),1.405.133.827.558,1468889740000.0,628592500.0,-2454294500.0,-61930210442.0,1405133827558.0
