row_label_raw,row_label_full,col_0,Giá trị ghi sô > Số cuối năm > Giá trị,Giá trị ghi sô > Số cuối năm > Dự phòng,Giá trị ghi sô > Số đầu năm > Giá trị,Giá trị ghi sô > Số đầu năm > Dự phòng,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi sô > Số cuối năm > Giá trị,numeric__Giá trị ghi sô > Số cuối năm > Dự phòng,numeric__Giá trị ghi sô > Số đầu năm > Giá trị,numeric__Giá trị ghi sô > Số đầu năm > Dự phòng,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Phải thu bên liên quan,Tài sản tài chính > Phải thu bên liên quan,Phải thu bên liên quan,252.931.205.106,-,43.989.594.373,-,252.931.205.106,43.989.594.373,252931205106.0,,43989594373.0,,252931205106.0,43989594373.0
Phải thu khác,Tài sản tài chính > Phải thu khác,Phải thu khác,85.247.439,-,85.247.439,-,85.247.439,85.247.439,85247439.0,,85247439.0,,85247439.0,85247439.0
Tiền,Tài sản tài chính > Tiền,Tiền,84.295.376,-,166.006.122,-,84.295.376,166.006.122,84295376.0,,166006122.0,,84295376.0,166006122.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,253.100.747.921,-,44.240.847.934,-,253.100.747.921,44.240.847.934,253100747921.0,,44240847934.0,,253100747921.0,44240847934.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,116.600.000,-,286.727.520,-,116.600.000,286.727.520,116600000.0,,286727520.0,,116600000.0,286727520.0
