row_label_raw,row_label_full,col_0,Phần mềmmáy tính,Tổng,numeric__Phần mềmmáy tính,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư tại 01/01/2024,NGUYÊN GIÁ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,985.007.500,985.007.500,985007500.0,985007500.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,,
Giảm trong năm,Tăng trong năm > Giảm trong năm,Giảm trong năm,690.507.500,690.507.500,690507500.0,690507500.0
Giảm do thoái vốn công ty con,Tăng trong năm > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,690.507.500,690.507.500,690507500.0,690507500.0
Số dư tại 31/12/2024,Tăng trong năm > Số dư tại 31/12/2024,Số dư tại 31/12/2024,294.500.000,294.500.000,294500000.0,294500000.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Số dư tại 01/01/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,541.645.390,541.645.390,541645390.0,541645390.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,119.626.408,119.626.408,119626408.0,119626408.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,119.626.408,119.626.408,119626408.0,119626408.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,366.771.798,366.771.798,366771798.0,366771798.0
Giảm do thoái vốn công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,366.771.798,366.771.798,366771798.0,366771798.0
Số dư tại 31/12/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,294.500.000,294.500.000,294500000.0,294500000.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại 01/01/2024,GIÁ TRỊ CÒN LẠI > Tại 01/01/2024,Tại 01/01/2024,443.362.110,443.362.110,443362110.0,443362110.0
Tại 31/12/2024,Tại 31/12/2024,Tại 31/12/2024,-,-,,
