row_label_raw,row_label_full,col_0,Kinh doanhbất động sản,"Kinh doanh cho thuê BĐS,dịch vụ quản lý BĐS vàhoạt động liên quan khác",Tổng,numeric__Kinh doanhbất động sản,"numeric__Kinh doanh cho thuê BĐS,dịch vụ quản lý BĐS vàhoạt động liên quan khác",numeric__Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
Tài sản bộ phận,TÀI SẢN > Tài sản bộ phận,Tài sản bộ phận,4.802.747.148.297,320.289.670.808,5.123.036.819.105,4802747148297.0,320289670808.0,5123036819105.0
Tài sản không thể phân bổ,TÀI SẢN > Tài sản không thể phân bổ,Tài sản không thể phân bổ,,,2.578.564.687.644,,,2578564687644.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,,,7.701.601.506.749,,,7701601506749.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản phải trả,NỘ PHẢI TRẢ > Các khoản phải trả,Các khoản phải trả,1.623.335.262.409,146.915.652.819,1.770.250.915.228,1623335262409.0,146915652819.0,1770250915228.0
Nợ phải trả không thể phân bổ,NỘ PHẢI TRẢ > Nợ phải trả không thể phân bổ,Nợ phải trả không thể phân bổ,,,2.297.376.944.132,,,2297376944132.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,,,4.067.627.859.360,,,4067627859360.0
Tài sản bộ phận và nợ bộ phận tại ngày 31/12/2023 như sau:,Tài sản bộ phận và nợ bộ phận tại ngày 31/12/2023 như sau:,Tài sản bộ phận và nợ bộ phận tại ngày 31/12/2023 như sau:,Tài sản bộ phận và nợ bộ phận tại ngày 31/12/2023 như sau:,Tài sản bộ phận và nợ bộ phận tại ngày 31/12/2023 như sau:,Tài sản bộ phận và nợ bộ phận tại ngày 31/12/2023 như sau:,,,
,,,Kinh doanhbất động sản,"Kinh doanh cho thuê BĐS,dịch vụ quản lý BĐS vàhoạt động liên quan khác",Tổng,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
Tài sản bộ phận,TÀI SẢN > Tài sản bộ phận,Tài sản bộ phận,4.769.154.072.779,1.347.456.763.241,6.116.610.836.020,4769154072779.0,1347456763241.0,6116610836020.0
Tài sản không thể phân bổ,TÀI SẢN > Tài sản không thể phân bổ,Tài sản không thể phân bổ,,,2.180.338.384.096,,,2180338384096.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,,,8.296.949.220.116,,,8296949220116.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Công nợ bộ phận,NỘ PHẢI TRẢ > Công nợ bộ phận,Công nợ bộ phận,1.227.452.566.491,27.761.643.746,1.255.214.210.237,1227452566491.0,27761643746.0,1255214210237.0
Nợ phải trả không thể phân bổ,NỘ PHẢI TRẢ > Nợ phải trả không thể phân bổ,Nợ phải trả không thể phân bổ,,,3.453.967.637.900,,,3453967637900.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,,,4.709.181.848.137,,,4709181848137.0
