row_label_raw,row_label_full,col_0,Kinh doanhbất động sản,"Kinh doanh cho thuê BĐS,dịch vụ quản lý BĐS vàhoạt động liên quan khác",Loại trừ,Tổng,numeric__Kinh doanhbất động sản,"numeric__Kinh doanh cho thuê BĐS,dịch vụ quản lý BĐS vàhoạt động liên quan khác",numeric__Loại trừ,numeric__Tổng
"DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN",,,,
Tổng doanh thu,"DOANH THU, GIÁ VỐN > Tổng doanh thu",Tổng doanh thu,1.457.749.470.935,157.922.461.942,-,1.615.671.932.877,1457749470935.0,157922461942.0,,1615671932877.0
Tổng giá vốn,"DOANH THU, GIÁ VỐN > Tổng giá vốn",Tổng giá vốn,958.597.395.523,138.521.752.915,-,1.097.119.148.438,958597395523.0,138521752915.0,,1097119148438.0
Lợi nhuận gộp,"DOANH THU, GIÁ VỐN > Lợi nhuận gộp",Lợi nhuận gộp,499.152.075.412,19.400.709.027,,518.552.784.439,499152075412.0,19400709027.0,,518552784439.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,499.152.075.412,19.400.709.027,-,518.552.784.439,499152075412.0,19400709027.0,,518552784439.0
Thu nhập/chỉ phí không phân bổ,KẾT QUẢ HOẠT ĐỘNG > Thu nhập/chỉ phí không phân bổ,Thu nhập/chỉ phí không phân bổ,-,-,-,(411.113.353.894),,,,-411113353894.0
Lợi nhuận thuần trước thuế,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,-,-,-,107.439.430.545,,,,107439430545.0
Thuế thu nhập doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,,(45.974.423.814),,,,-45974423814.0
Lợi nhuận trong năm,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,61.465.006.731,,,,61465006731.0
