row_label_raw,row_label_full,col_0,Kinh doanh bất động sản,"Kinh doanh cho thuê BĐS, dịch vụ quản lý BĐS và hoạt động liên quan khác",Loại trừ,Tổng,numeric__Kinh doanh bất động sản,"numeric__Kinh doanh cho thuê BĐS, dịch vụ quản lý BĐS và hoạt động liên quan khác",numeric__Loại trừ,numeric__Tổng
"DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN","DOANH THU, GIÁ VỐN",,,,
Tổng doanh thu,"DOANH THU, GIÁ VỐN > Tổng doanh thu",Tổng doanh thu,1.520.490.846.773,159.783.379.269,-,1.680.274.226.042,1520490846773.0,159783379269.0,,1680274226042.0
Tổng giá vốn,"DOANH THU, GIÁ VỐN > Tổng giá vốn",Tổng giá vốn,1.241.966.526.758,150.253.431.549,-,1.392.219.958.307,1241966526758.0,150253431549.0,,1392219958307.0
Lợi nhuận gộp,"DOANH THU, GIÁ VỐN > Lợi nhuận gộp",Lợi nhuận gộp,278.524.320.015,9.529.947.720,-,288.054.267.735,278524320015.0,9529947720.0,,288054267735.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,278.524.320.015,9.529.947.720,-,288.054.267.735,278524320015.0,9529947720.0,,288054267735.0
Thu nhập/chỉ phí không phân bổ,KẾT QUẢ HOẠT ĐỘNG > Thu nhập/chỉ phí không phân bổ,Thu nhập/chỉ phí không phân bổ,-,-,-,(103.921.259.581),,,,-103921259581.0
Lợi nhuận thuần trước thuế,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,-,-,-,189.027.726.773,,,,189027726773.0
Thuế thu nhập doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,-,(54.089.942.634),,,,-54089942634.0
Lợi nhuận trong năm,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,134.937.784.139,,,,134937784139.0
