row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn","Thiết bị,dụng cụ quản lý",Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2024,NGUYÊN GIÁ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,59.031.023.459,9.619.672.669,12.187.950.909,2.414.147.332,83.252.794.369,59031023459.0,9619672669.0,12187950909.0,2414147332.0,83252794369.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,104.454.546,-,-,104.454.546,,104454546.0,,,104454546.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,104.454.546,-,-,104.454.546,,104454546.0,,,104454546.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,-,35.500.000,35.500.000,,,,35500000.0,35500000.0
Giảm do thanh lý Công ty con,NGUYÊN GIÁ > Giảm do thanh lý Công ty con,Giảm do thanh lý Công ty con,-,-,-,35.500.000,35.500.000,,,,35500000.0,35500000.0
Số dư tại 31/12/2024,NGUYÊN GIÁ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,59.031.023.459,9.724.127.215,12.187.950.909,2.378.647.332,83.321.748.915,59031023459.0,9724127215.0,12187950909.0,2378647332.0,83321748915.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,8.564.739.727,4.018.819.967,11.512.188.338,2.247.316.604,26.343.064.636,8564739727.0,4018819967.0,11512188338.0,2247316604.0,26343064636.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,1.477.061.976,623.945.556,197.111.820,77.543.928,2.375.663.280,1477061976.0,623945556.0,197111820.0,77543928.0,2375663280.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.477.061.976,623.945.556,197.111.820,77.543.928,2.375.663.280,1477061976.0,623945556.0,197111820.0,77543928.0,2375663280.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,-,-,35.500.000,35.500.000,,,,35500000.0,35500000.0
Giảm do thanh lý Công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thanh lý Công ty con,Giảm do thanh lý Công ty con,-,-,-,35.500.000,35.500.000,,,,35500000.0,35500000.0
Số dư tại 31/12/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,10.041.801.703,4.642.765.523,11.709.300.158,2.289.360.532,28.683.227.916,10041801703.0,4642765523.0,11709300158.0,2289360532.0,28683227916.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2024,GIÁ TRỊ CÒN LẠI > Tại 01/01/2024,Tại 01/01/2024,50.466.283.732,5.600.852.702,675.762.571,166.830.728,56.909.729.733,50466283732.0,5600852702.0,675762571.0,166830728.0,56909729733.0
Tại 31/12/2024,GIÁ TRỊ CÒN LẠI > Tại 31/12/2024,Tại 31/12/2024,48.989.221.756,5.081.361.692,478.650.751,89.286.800,54.638.520.999,48989221756.0,5081361692.0,478650751.0,89286800.0,54638520999.0
