row_label_raw,row_label_full,Số đầu năm,Năm 2024VND > 205.744.776.804,Năm 2023VND > 199.547.932.197,numeric__Năm 2024VND > 205.744.776.804,numeric__Năm 2023VND > 199.547.932.197
"Trích quỹ và thù lao HĐQT, BKS","Trích quỹ và thù lao HĐQT, BKS","Trích quỹ và thù lao HĐQT, BKS",(413.407.892),(382.134.134),-413407892.0,-382134134.0
Chi trả cổ tức tại Công ty con,Chi trả cổ tức tại Công ty con,Chi trả cổ tức tại Công ty con,(8.842.493.074),(1.009.482.349),-8842493074.0,-1009482349.0
Tăng do tăng tỷ lệ sở hữu Công ty con,Tăng do tăng tỷ lệ sở hữu Công ty con,Tăng do tăng tỷ lệ sở hữu Công ty con,(708.836.453),-,-708836453.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,4.018.255.458,7.588.461.090,4018255458.0,7588461090.0
Giảm do thanh lý Công ty con,Giảm do thanh lý Công ty con,Giảm do thanh lý Công ty con,(1.218.486.221),-,-1218486221.0,
Số cuối năm,Số cuối năm,Số cuối năm,198.579.808.622,205.744.776.804,198579808622.0,205744776804.0
