row_label_raw,row_label_full,col_0,Lãi suấtvay%/năm,Số dư đầu nămVND,Số vay trong nămVND,Số đã trả trong nămVND,Số dư cuối nămVND,numeric__Lãi suấtvay%/năm,numeric__Số dư đầu nămVND,numeric__Số vay trong nămVND,numeric__Số đã trả trong nămVND,numeric__Số dư cuối nămVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,4.819.340.678.085,48.901.455.932.980,45.216.908.947.381,8.503.887.663.684,,4819340678085.0,48901455932980.0,45216908947381.0,8503887663684.0
Vay thầu chi,Vay thầu chi,Vay thầu chi,"0,8 - 7",1.254.340.678.085,33.327.925.932.980,32.648.908.947.381,1.933.357.663.684,,1254340678085.0,33327925932980.0,32648908947381.0,1933357663684.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,"1,5 - 7,7",3.565.000.000.000,15.573.530.000.000,12.568.000.000.000,6.570.530.000.000,,3565000000000.0,15573530000000.0,12568000000000.0,6570530000000.0
- Ngân hàng TMCP Ngoại Thương Việt Nam,- Ngân hàng TMCP Ngoại Thương Việt Nam,- Ngân hàng TMCP Ngoại Thương Việt Nam,,2.971.000.000.000,8.332.000.000.000,8.204.000.000.000,3.099.000.000.000,,2971000000000.0,8332000000000.0,8204000000000.0,3099000000000.0
- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,,247.000.000.000,670.000.000.000,627.000.000.000,290.000.000.000,,247000000000.0,670000000000.0,627000000000.0,290000000000.0
- Ngân hàng TMCP Xăng dầu Petrolimex,- Ngân hàng TMCP Xăng dầu Petrolimex,- Ngân hàng TMCP Xăng dầu Petrolimex,,347.000.000.000,1.690.000.000.000,1.587.000.000.000,450.000.000.000,,347000000000.0,1690000000000.0,1587000000000.0,450000000000.0
- Ngân hàng Sinopac - Hồng Kông (1),- Ngân hàng Sinopac - Hồng Kông (1),- Ngân hàng Sinopac - Hồng Kông (1),,-,136.530.000.000,-,136.530.000.000,,,136530000000.0,,136530000000.0
- Ngân hàng TNHH CTBC-Chi nhánh TP. HCM,- Ngân hàng TNHH CTBC-Chi nhánh TP. HCM,- Ngân hàng TNHH CTBC-Chi nhánh TP. HCM,,-,110.000.000.000,-,110.000.000.000,,,110000000000.0,,110000000000.0
- Ngân hàng TMCP Kỹ thương Việt Nam,- Ngân hàng TMCP Kỹ thương Việt Nam,- Ngân hàng TMCP Kỹ thương Việt Nam,,-,3.705.000.000.000,1.420.000.000.000,2.285.000.000.000,,,3705000000000.0,1420000000000.0,2285000000000.0
- Ngân hàng TMCP Quốc dân,- Ngân hàng TMCP Quốc dân,- Ngân hàng TMCP Quốc dân,,-,400.000.000.000,200.000.000.000,200.000.000.000,,,400000000000.0,200000000000.0,200000000000.0
- Ngân hàng TMCP Phát triển TP. HCM,- Ngân hàng TMCP Phát triển TP. HCM,- Ngân hàng TMCP Phát triển TP. HCM,,-,530.000.000.000,530.000.000.000,-,,,530000000000.0,530000000000.0,
Nợ thuê tài sản tài chính ngắn hạn,Nợ thuê tài sản tài chính ngắn hạn,Nợ thuê tài sản tài chính ngắn hạn,,-,-,-,-,,,,,
Tổng cộng,Nợ thuê tài sản tài chính ngắn hạn > Tổng cộng,Tổng cộng,,4.819.340.678.085,48.901.455.932.980,45.216.908.947.381,8.503.887.663.684,,4819340678085.0,48901455932980.0,45216908947381.0,8503887663684.0
