row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm nay VND,Năm trước (trình bày lại) VND,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
,,,III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
41,41,41,1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,498.596.335,146.819.024,,,498596335.0,146819024.0
42,42,42,"2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cổ định",,39.095.125.630,21.595.000.566,,,39095125630.0,21595000566.0
44,44,44,3. Doanh thu khác về đầu tư (phần lãi trong công ty liên kết),11,105.518.563.847,73.457.661.737,,11.0,105518563847.0,73457661737.0
50,50,50,Cộng doanh thu hoạt động tài chính,35,145.112.285.812,95.199.481.327,,35.0,145112285812.0,95199481327.0
,,,IV. CHI PHÍ TÀI CHÍNH,,,,,,,
51,51,51,1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện,,1.868.541.862,188.578.824,,,1868541862.0,188578824.0
52,52,52,2. Chỉ phí lãi vay,,343.581.229.539,269.221.826.624,,,343581229539.0,269221826624.0
60,60,60,Cộng chỉ phí tài chính,36,345.449.771.401,269.410.405.448,,36.0,345449771401.0,269410405448.0
62,62,62,VI. CHI PHÍ QUẢN LÝ,37,168.028.766.259,140.593.608.205,,37.0,168028766259.0,140593608205.0
70,70,70,VII. KẾT QUẢ HOẠT ĐỘNG,,1.392.314.526.117,1.141.560.999.946,,,1392314526117.0,1141560999946.0
,,,VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,,,
71,71,71,Thu nhập khác,,13.087.665.727,2.628.448.016,,,13087665727.0,2628448016.0
72,72,72,Chỉ phí khác,,380.782.811,126.449.020,,,380782811.0,126449020.0
80,80,80,Cộng kết quả hoạt động khác,38,12.706.882.916,2.501.998.996,,38.0,12706882916.0,2501998996.0
90,90,90,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,,1.405.021.409.033,1.144.062.998.942,,,1405021409033.0,1144062998942.0
91,91,91,Lợi nhuận đã thực hiện,,1.369.674.291.631,1.021.671.339.934,,,1369674291631.0,1021671339934.0
92,92,92,Lợi nhuận chưa thực hiện,,35.347.117.402,122.391.659.008,,,35347117402.0,122391659008.0
100,100,100,X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP (TNDN),39,243.916.813.210,199.398.763.392,,39.0,243916813210.0,199398763392.0
100.1,100.1,100.1,Chỉ phí thuế TNDN hiện hành,39.1,227.147.912.674,220.703.920.528,,391.0,227147912674.0,220703920528.0
100.2,100.2,100.2,Chỉ phí/(thu nhập) thuế TNDN hoãn lại,39.2,16.768.900.536,(21.305.157.136),,392.0,16768900536.0,-21305157136.0
200,200,200,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,,1.161.104.595.823,944.664.235.550,,,1161104595823.0,944664235550.0
201,201,201,1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,,1.161.852.985.813,946.703.413.703,,,1161852985813.0,946703413703.0
202,202,202,2. Lợi nhuận sau thuế trích các Quỹ,,79.628.651.193,61.392.510.064,,,79628651193.0,61392510064.0
203,203,203,3. Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,,(748.389.990),(2.039.178.153),,,-748389990.0,-2039178153.0
