row_label_raw,row_label_full,31 tháng 12 năm 2017,Quả hạnVND > 31 tháng 12 năm 2017,Không kỳ hạnVND > 31 tháng 12 năm 2017,Đến 01 nămVND > 31 tháng 12 năm 2017,Từ 01 – 05 nămVND > 31 tháng 12 năm 2017,Trên 05 nămVND > 31 tháng 12 năm 2017,Tổng cộngVND > 31 tháng 12 năm 2017,numeric__Quả hạnVND > 31 tháng 12 năm 2017,numeric__Không kỳ hạnVND > 31 tháng 12 năm 2017,numeric__Đến 01 nămVND > 31 tháng 12 năm 2017,numeric__Từ 01 – 05 nămVND > 31 tháng 12 năm 2017,numeric__Trên 05 nămVND > 31 tháng 12 năm 2017,numeric__Tổng cộngVND > 31 tháng 12 năm 2017
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,231.504.310.415,114.481.402.776,-,-,345.985.713.191,,231504310415.0,114481402776.0,,,345985713191.0
Tài sản tài chính,TÀI SẢN > Tài sản tài chính,Tài sản tài chính,2.744.228.427,3.092.742.234.719,13.516.746.776.290,130.424.472.600,812.945.220.865,17.555.602.932.901,2744228427.0,3092742234719.0,13516746776290.0,130424472600.0,812945220865.0,17555602932901.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ,TÀI SẢN > Tài sản tài chính ghi nhận thông qua lãi/lỗ,Tài sản tài chính ghi nhận thông qua lãi/lỗ,-,1.431.143.096.100,-,-,-,1.431.143.096.100,,1431143096100.0,,,,1431143096100.0
Giữ đến ngày đáo hạn,TÀI SẢN > Giữ đến ngày đáo hạn,Giữ đến ngày đáo hạn,-,-,7.882.154.213.938,130.424.472.600,-,8.012.578.686.538,,,7882154213938.0,130424472600.0,,8012578686538.0
Các khoản cho vay (không bao gồm dự phòng),TÀI SẢN > Các khoản cho vay (không bao gồm dự phòng),Các khoản cho vay (không bao gồm dự phòng),2.744.228.427,126.735.539.319,5.634.592.562.352,-,-,5.764.072.330.098,2744228427.0,126735539319.0,5634592562352.0,,,5764072330098.0
Sản sàng để bán,TÀI SẢN > Sản sàng để bán,Sản sàng để bán,-,1.534.863.599.300,-,-,-,1.534.863.599.300,,1534863599300.0,,,,1534863599300.0
Góp vốn đầu tư dài hạn,TÀI SẢN > Góp vốn đầu tư dài hạn,Góp vốn đầu tư dài hạn,-,-,-,-,812.945.220.865,812.945.220.865,,,,,812945220865.0,812945220865.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,15.301.892.963,318.594.324.556,109.671.558.000,98.584.240.169,218.230.726.962,760.382.742.650,15301892963.0,318594324556.0,109671558000.0,98584240169.0,218230726962.0,760382742650.0
"Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > Các khoản cầm cố, ký quỹ, ký cược","Các khoản cầm cố, ký quỹ, ký cược",-,20.348.251.376,-,-,-,20.348.251.376,,20348251376.0,,,,20348251376.0
