row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,Số dư đầu năm (trình bày lại) > Ngày 01/01/2016 > VND,Số dư đầu năm (trình bày lại) > Ngày 01/01/2017 > VND,Số tăng/giảm > Năm trước (trình bày lại) > Tăng > VND,Số tăng/giảm > Năm trước (trình bày lại) > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31/12/2016(trình bày lại) > VND,Số dư cuối năm > Ngày 31/12/2017 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm (trình bày lại) > Ngày 01/01/2016 > VND,numeric__Số dư đầu năm (trình bày lại) > Ngày 01/01/2017 > VND,numeric__Số tăng/giảm > Năm trước (trình bày lại) > Tăng > VND,numeric__Số tăng/giảm > Năm trước (trình bày lại) > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31/12/2016(trình bày lại) > VND,numeric__Số dư cuối năm > Ngày 31/12/2017 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
II. THU NHẬP TOẢN DIỆN KHÁC1. Lãi/(lâ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOẢN DIỆN KHÁC1. Lãi/(lâ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOẢN DIỆN KHÁC1. Lãi/(lâ) từ đánh giá lại các tài sản tài chính AFS,40,646.562.943.061,652.792.875.375,565.836.067.959,(559.606.135.645),607.628.548.568,(622.525.179.876),652.792.875.375,637.896.244.067,40.0,646562943061.0,652792875375.0,565836067959.0,-559606135645.0,607628548568.0,-622525179876.0,652792875375.0,637896244067.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,646.562.943.061,652.792.875.375,565.836.067.959,(559.606.135.645),607.628.548.568,(622.525.179.876),652.792.875.375,637.896.244.067,,646562943061.0,652792875375.0,565836067959.0,-559606135645.0,607628548568.0,-622525179876.0,652792875375.0,637896244067.0
