row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2017 > Giảm trong năm,314.275.801.824 > (41.358.044.249),numeric__314.275.801.824 > (41.358.044.249)
- Thanh lý,- Thanh lý,- Thanh lý,(40.615.165.225),-40615165225.0
- Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,- Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,- Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,(742.879.024),-742879024.0
Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,272.917.757.575,272917757575.0
