row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/(chi phí)VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/(chi phí)VND
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu nămVND,Tăng trong nămVND,Giảm trong nămVND,Số cuối nămVND,Doanh thu/(chi phí)VND,,,,,,
Cty TNHH Một Thành Viên Nguyễn Sài Gòn,Cty TNHH Một Thành Viên Nguyễn Sài Gòn,Cty TNHH Một Thành Viên Nguyễn Sài Gòn,"Phí giao dịch, phí lưu ký và phí ứng trước tiền bán chứng khoán",-,567.044.766(18.002.000),(567.044.766)18.002.000,-,567.040.766-,,,,,,
Cty TNHH Một Thành Viên Nguyễn Sài Gòn,Cty TNHH Một Thành Viên Nguyễn Sài Gòn > Cty TNHH Một Thành Viên Nguyễn Sài Gòn,Cty TNHH Một Thành Viên Nguyễn Sài Gòn,Cổ tức SSI,-,47.013.895.899,(47.013.895.899),-,101.064.367,,,47013895899.0,-47013895899.0,,101064367.0
Cty TNHH Một Thành Viên Nguyễn Sài Gòn,Cty TNHH Một Thành Viên Nguyễn Sài Gòn,Cty TNHH Một Thành Viên Nguyễn Sài Gòn,Phải thu giao dịch ký quỹ,-,,,,,,,,,,
Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh,Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh,Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh,"Phí ứng trước tiền bán chứng khoán, phí lưu ký và phí giao dịch",-,159.856.959(29.554.063.000),(159.856.959)29.554.063.000,-,159.854.559-,,,,,,
Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh,Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh,Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh,Cổ tức SSI,-,,,,,,,,,,
Công ty Cổ phần Khử trùng Việt Nam (VFG),Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh > Công ty Cổ phần Khử trùng Việt Nam (VFG),Công ty Cổ phần Khử trùng Việt Nam (VFG),Góp vốn theo phương pháp vốn chủ sở hữu,152.976.041.909,24.075.752.808,(10.243.865.000),166.807.929.717,24.075.432.408,,152976041909.0,24075752808.0,-10243865000.0,166807929717.0,24075432408.0
Công ty Cổ phần Cằng Đồng Nai (PDN),Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh > Công ty Cổ phần Cằng Đồng Nai (PDN),Công ty Cổ phần Cằng Đồng Nai (PDN),Góp vốn theo phương pháp vốn chủ sở hữu,74.703.544.922,14.927.150.310,(6.175.627.500),83.455.067.732,14.927.150.310,,74703544922.0,14927150310.0,-6175627500.0,83455067732.0,14927150310.0
Đối tượng liên quan khác,Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh > Đối tượng liên quan khác,Đối tượng liên quan khác,Mua trái phiếu SSI,(12.500.000.000),(60.000.000.000),12.500.000.000,(60.000.000.000),-,,-12500000000.0,-60000000000.0,12500000000.0,-60000000000.0,
Đối tượng liên quan khác,Công ty TNHH BắtĐộng Sản Sài Gòn Đan Linh > Đối tượng liên quan khác,Đối tượng liên quan khác,Lãi trái phiếu phải trả,(986.396.875),(4.956.588.541),1.041.318.750,(4.901.666.666),(4.956.588.541),,-986396875.0,-4956588541.0,1041318750.0,-4901666666.0,-4956588541.0
Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,,,,,,
,,,,Năm nayVND,Năm trướcVND,,,,,,,,,
Lương và thường,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc > Lương và thường,Lương và thường,,12.405.200.000,12.097.800.000,,,,,12405200000.0,12097800000.0,,,
