row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng,Số cuối năm > Giá mua VND,Số cuối năm > Giá trị giảm giá VND,Số đầu năm > Số lượng,Số đầu năm > Giá mua VND,Số đầu năm > Giá trị giảm giá VND,numeric__Số cuối năm > Số lượng,numeric__Số cuối năm > Giá mua VND,numeric__Số cuối năm > Giá trị giảm giá VND,numeric__Số đầu năm > Số lượng,numeric__Số đầu năm > Giá mua VND,numeric__Số đầu năm > Giá trị giảm giá VND
BFC,BFC,BFC,-,-,-,189.634,6.363.925.426,(769.722.426),,,,189634.0,6363925426.0,-769722426.0
HAX,HAX,HAX,304.710,13.440.811.658,(2.273.190.158),-,-,-,304710.0,13440811658.0,-2273190158.0,,,
VCG,VCG,VCG,1.335.400,30.279.580.039,(1.167.860.039),-,-,-,1335400.0,30279580039.0,-1167860039.0,,,
HTL,HTL,HTL,21.890,1.386.167.760,(477.732.760),-,-,-,21890.0,1386167760.0,-477732760.0,,,
HAH,HAH,HAH,59.220,1.567.804.111,(383.404.111),-,-,-,59220.0,1567804111.0,-383404111.0,,,
PNJ,PNJ,PNJ,-,-,-,151.560,10.821.503.864,(742.763.864),,,,151560.0,10821503864.0,-742763864.0
HPG,HPG,HPG,-,-,-,309.859,14.010.580.639,(640.164.789),,,,309859.0,14010580639.0,-640164789.0
DGL,DGL,DGL,-,-,-,97.700,4.304.253.168,(611.193.168),,,,97700.0,4304253168.0,-611193168.0
VIT,VIT,VIT,349.770,7.455.292.146,(1.159.432.146),242.100,6.919.661.241,(528.221.241),349770.0,7455292146.0,-1159432146.0,242100.0,6919661241.0,-528221241.0
NT2,NT2,NT2,-,-,-,41.140,1.559.152.000,(436.030.000),,,,41140.0,1559152000.0,-436030000.0
ITD,ITD,ITD,-,-,-,192.900,4.923.112.854,(428.542.854),,,,192900.0,4923112854.0,-428542854.0
VNM,VNM,VNM,-,-,-,28.807,4.033.008.000,(414.848.800),,,,28807.0,4033008000.0,-414848800.0
Khác,Khác,Khác,880.190,26.827.039.970,(293.189.970),770.683,31.277.459.559,(2.376.507.409),880190.0,26827039970.0,-293189970.0,770683.0,31277459559.0,-2376507409.0
,,,2.951.180,80.956.695.684,(5.754.809.184),2.024.383,84.212.656.751,(6.947.994.551),2951180.0,80956695684.0,-5754809184.0,2024383.0,84212656751.0,-6947994551.0
