row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2017 > Khấu hao trong năm > Giảm trong năm,52.934.629.860 > 9.317.967.530 > (7.565.566.777),numeric__52.934.629.860 > 9.317.967.530 > (7.565.566.777)
- Thanh lý,- Thanh lý,- Thanh lý,(7.432.446.420),-7432446420.0
- Chênh lệch tỷ giá khi chuyển đổi báo cáo công ty con,- Chênh lệch tỷ giá khi chuyển đổi báo cáo công ty con,- Chênh lệch tỷ giá khi chuyển đổi báo cáo công ty con,(133.120.357),-133120357.0
Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,54.687.030.613,54687030613.0
