row_label_raw,row_label_full,col_0,Phần mềm VND,Quyền sử dụng đất VND,Tài sản vô hình khác VND,Tổng cộng VND,numeric__Phần mềm VND,numeric__Quyền sử dụng đất VND,numeric__Tài sản vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm 2017,Nguyên giá > Ngày 1 tháng 1 năm 2017,Ngày 1 tháng 1 năm 2017,56.887.231.019,109.671.558.000,6.649.215.842,173.208.004.861,56887231019.0,109671558000.0,6649215842.0,173208004861.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,13.649.176.640,-,75.000.000,13.724.176.640,13649176640.0,,75000000.0,13724176640.0
Mua mới,Nguyên giá > Mua mới,Mua mới,13.649.176.640,-,75.000.000,13.724.176.640,13649176640.0,,75000000.0,13724176640.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Ngày 31 tháng 12 năm 2017,Giảm trong năm > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,70.536.407.659,109.671.558.000,6.724.215.842,186.932.181.501,70536407659.0,109671558000.0,6724215842.0,186932181501.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm 2017,Hao mòn lũy kế > Ngày 1 tháng 1 năm 2017,Ngày 1 tháng 1 năm 2017,50.188.404.092,-,4.172.166.570,54.360.570.662,50188404092.0,,4172166570.0,54360570662.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,3.420.374.684,-,992.237.223,4.412.611.907,3420374684.0,,992237223.0,4412611907.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,3.420.374.684,-,992.237.223,4.412.611.907,3420374684.0,,992237223.0,4412611907.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Ngày 31 tháng 12 năm 2017,Giảm trong năm > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,53.608.778.776,-,5.164.403.793,58.773.182.569,53608778776.0,,5164403793.0,58773182569.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2017,Giá trị còn lại > Ngày 1 tháng 1 năm 2017,Ngày 1 tháng 1 năm 2017,6.698.826.927,109.671.558.000,2.477.049.272,118.847.434.199,6698826927.0,109671558000.0,2477049272.0,118847434199.0
Ngày 31 tháng 12 năm 2017,Giá trị còn lại > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,16.927.628.883,109.671.558.000,1.559.812.049,128.158.998.932,16927628883.0,109671558000.0,1559812049.0,128158998932.0
