row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước (trình bày lại) VND,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
Từ tài sản tài chính FVTPL,Từ tài sản tài chính FVTPL,Từ tài sản tài chính FVTPL,46.442.916.976,41.285.789.185,46442916976.0,41285789185.0
Từ tài sản tài chính HTM,Từ tài sản tài chính HTM,Từ tài sản tài chính HTM,450.841.549.874,344.890.502.306,450841549874.0,344890502306.0
Từ các khoản cho vay và phải thu,Từ các khoản cho vay và phải thu,Từ các khoản cho vay và phải thu,519.650.863.341,429.400.211.341,519650863341.0,429400211341.0
Từ tài sản tài chính AFS,Từ tài sản tài chính AFS,Từ tài sản tài chính AFS,259.243.270.357,342.218.316.379,259243270357.0,342218316379.0
"Cổ tức, trái tức phát sinh từ tài sản tài chính AFS","Cổ tức, trái tức phát sinh từ tài sản tài chính AFS","Cổ tức, trái tức phát sinh từ tài sản tài chính AFS",32.949.734.100,75.010.273.478,32949734100.0,75010273478.0
Chênh lệch đánh giá lại theo giá trị hợp lý tài sản tài chính AFS phân loại lại khi bán,Chênh lệch đánh giá lại theo giá trị hợp lý tài sản tài chính AFS phân loại lại khi bán,Chênh lệch đánh giá lại theo giá trị hợp lý tài sản tài chính AFS phân loại lại khi bán,226.293.536.257,267.208.042.901,226293536257.0,267208042901.0
- VSC,- VSC,- VSC,21.138.434.758,10.078.647.212,21138434758.0,10078647212.0
- TMS,- TMS,- TMS,21.002.076.949,111.791.980.359,21002076949.0,111791980359.0
- VEAM,- VEAM,- VEAM,49.435.600.000,-,49435600000.0,
- VHL,- VHL,- VHL,32.744.864.591,45.244.669.541,32744864591.0,45244669541.0
- CTD,- CTD,- CTD,30.578.534.400,-,30578534400.0,
- SGN,- SGN,- SGN,69.636.835.238,27.285.714.286,69636835238.0,27285714286.0
- Khác,- Khác,- Khác,1.757.190.321,72.807.031.503,1757190321.0,72807031503.0
Tổng cộng,Tổng cộng,Tổng cộng,1.276.178.600.548,1.157.794.819.211,1276178600548.0,1157794819211.0
