row_label_raw,row_label_full,col_0,Số dư cuối năm(cổ phiếu),Số dư đầu năm(cổ phiếu),numeric__Số dư cuối năm(cổ phiếu),numeric__Số dư đầu năm(cổ phiếu)
Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,500.063.684,490.063.684,500063684.0,490063684.0
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,500.063.684,490.063.684,500063684.0,490063684.0
Số lượng cổ phiếu đã phát hành và được gópvốn đầy đủ,Số lượng cổ phiếu đã phát hành và được gópvốn đầy đủ,Số lượng cổ phiếu đã phát hành và được gópvốn đầy đủ,500.063.684,490.063.684,500063684.0,490063684.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,500.063.684,490.063.684,500063684.0,490063684.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu quỹ,- Cổ phiếu ưu đãi > Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,(214.314),(238.434),-214314.0,-238434.0
Cổ phiếu quỹ do Công ty nấm giữ,- Cổ phiếu ưu đãi > Cổ phiếu quỹ do Công ty nấm giữ,Cổ phiếu quỹ do Công ty nấm giữ,(214.314),(238.434),-214314.0,-238434.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,(214.314),(238.434),-214314.0,-238434.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,499.849.370,489.825.250,499849370.0,489825250.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,499.849.370,489.825.250,499849370.0,489825250.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
