row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước (trình bày lại) VND,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
Chi phí hoạt động quản lý quỹ,Chi phí hoạt động quản lý quỹ,Chi phí hoạt động quản lý quỹ,9.846.347.855,7.241.357.682,9846347855.0,7241357682.0
Chi phí hoạt động quản lý danh mục,Chi phí hoạt động quản lý danh mục,Chi phí hoạt động quản lý danh mục,1.591.704.538,655.340.414,1591704538.0,655340414.0
Chi phí hoạt động tư vấn đầu tư,Chi phí hoạt động tư vấn đầu tư,Chi phí hoạt động tư vấn đầu tư,16.111.085.374,16.834.510.565,16111085374.0,16834510565.0
Chi phí lãi hợp đồng bán cam kết mua lại chứng khoán,Chi phí lãi hợp đồng bán cam kết mua lại chứng khoán,Chi phí lãi hợp đồng bán cam kết mua lại chứng khoán,-,3.257.372.332,,3257372332.0
Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán (Hoàn nhập)/chi phí dự phòng phải thu khó đòi,Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán (Hoàn nhập)/chi phí dự phòng phải thu khó đòi,Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán (Hoàn nhập)/chi phí dự phòng phải thu khó đòi,31.250.733.623,22.724.288.034,31250733623.0,22724288034.0
Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán (Hoàn nhập)/chi phí dự phòng phải thu khó đòi,Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán (Hoàn nhập)/chi phí dự phòng phải thu khó đòi,Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán (Hoàn nhập)/chi phí dự phòng phải thu khó đòi,(620.599.691),11.731.826.423,-620599691.0,11731826423.0
- (Hoàn nhập)/chi phí dự phòng phải thu các dịch vụ công ty chứng khoán cung cấp,- (Hoàn nhập)/chi phí dự phòng phải thu các dịch vụ công ty chứng khoán cung cấp,- (Hoàn nhập)/chi phí dự phòng phải thu các dịch vụ công ty chứng khoán cung cấp,(620.599.691),11.708.127.607,-620599691.0,11708127607.0
- Dự phòng phải thu khác,- Dự phòng phải thu khác,- Dự phòng phải thu khác,-,23.698.816,,23698816.0
Chi phí cho thuê bất động sản đầu tư,Chi phí cho thuê bất động sản đầu tư,Chi phí cho thuê bất động sản đầu tư,16.335.277.110,16.232.449.138,16335277110.0,16232449138.0
Chi phí khác,Chi phí khác,Chi phí khác,4.562.613.932,3.575.563.647,4562613932.0,3575563647.0
Tổng cộng,Tổng cộng,Tổng cộng,79.077.162.741,82.252.708.235,79077162741.0,82252708235.0
