row_label_raw,row_label_full,col_0,col_1,Số cuối năm VND,Số đầu năm VND,numeric__col_1,numeric__Số cuối năm VND,numeric__Số đầu năm VND
1.,1.,1.,Các khoản phải thu bán các tài sản tài chínhTrong đó các khoản phải thu về bán các khoản đầu tư không có khả năng thu hồi,26.678.453.070,53.486.347.570,,26678453070.0,53486347570.0
2.,2.,2.,"Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khó đòi về cổ tức, tiến lãi các khoản đầu tư",2.531.847.570,2.531.847.570,,2531847570.0,2531847570.0
3.,3.,3.,Trả trước cho người bán,1.163.550.000,133.000.000,,1163550000.0,133000000.0
4.,4.,4.,Phải thu các dịch vụ CTCK cung cấpTrong đó phải thu khó đòi các dịch vụ CTCK cung cấp,-,133.000.000,,,133000000.0
5.,5.,5.,Phải thu khácTrong đó phải thu khác khó đòi,18.082.112.403,21.135.273.595,,18082112403.0,21135273595.0
6.,6.,6.,Dự phòng phải thu khó đòi,55.404.562.922,36.101.403.942,,55404562922.0,36101403942.0
,,,,12.248.527.916,12.971.609.076,,12248527916.0,12971609076.0
,,,,71.271.331.370,3.002.523.445,,71271331370.0,3002523445.0
,,,,521.517.477,388.517.477,,521517477.0,388517477.0
,,,,(15.301.892.963),(15.922.492.654),,-15301892963.0,-15922492654.0
Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,157.298.116.802,97.936.055.898,,157298116802.0,97936055898.0
