row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước (trình bày lại) VND,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
Chi phí môi giới chứng khoán,Chi phí môi giới chứng khoán,Chi phí môi giới chứng khoán,195.949.196.141,99.814.335.761,195949196141.0,99814335761.0
Chi phí hoạt động lưu ký,Chi phí hoạt động lưu ký,Chi phí hoạt động lưu ký,18.364.941.338,14.217.781.607,18364941338.0,14217781607.0
Chi phí lượng và các khoản khác theo lương,Chi phí lượng và các khoản khác theo lương,Chi phí lượng và các khoản khác theo lương,288.034.494.754,155.958.636.514,288034494754.0,155958636514.0
"Chi phí BHXH, BHYT, KPCĐ, BHTN","Chi phí BHXH, BHYT, KPCĐ, BHTN","Chi phí BHXH, BHYT, KPCĐ, BHTN",12.677.950.250,10.510.079.800,12677950250.0,10510079800.0
Chi phí vật tư văn phòng,Chi phí vật tư văn phòng,Chi phí vật tư văn phòng,922.255.305,669.554.542,922255305.0,669554542.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",5.678.473.772,3.525.633.902,5678473772.0,3525633902.0
"Chi phí khấu hao TSCĐ, BĐSĐT","Chi phí khấu hao TSCĐ, BĐSĐT","Chi phí khấu hao TSCĐ, BĐSĐT",14.556.393.310,12.707.695.202,14556393310.0,12707695202.0
(Hoàn nhập)/chi phí dự phòng,(Hoàn nhập)/chi phí dự phòng,(Hoàn nhập)/chi phí dự phòng,(620.599.691),11.731.826.423,-620599691.0,11731826423.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,87.679.974.942,72.021.499.851,87679974942.0,72021499851.0
Chi phí về vốn,Chi phí về vốn,Chi phí về vốn,42.629.931.820,32.411.727.700,42629931820.0,32411727700.0
Chi phí chia sẻ lợi tức của hoạt động quản lý quỹ,Chi phí chia sẻ lợi tức của hoạt động quản lý quỹ,Chi phí chia sẻ lợi tức của hoạt động quản lý quỹ,11.249.260.866,9.550.015.073,11249260866.0,9550015073.0
Chi phí khác,Chi phí khác,Chi phí khác,16.612.735.072,16.208.251.990,16612735072.0,16208251990.0
Tổng cộng,Tổng cộng,Tổng cộng,693.735.007.879,439.327.038.365,693735007879.0,439327038365.0
