row_label_raw,row_label_full,col_0,Số dư cuối nămVND,Số dư đầu năm(trình bày lại)VND,numeric__Số dư cuối nămVND,numeric__Số dư đầu năm(trình bày lại)VND
Lợi nhuận đã thực hiện,Lợi nhuận đã thực hiện,Lợi nhuận đã thực hiện,2.235.685.451.553,1.727.170.255.230,2235685451553.0,1727170255230.0
Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,(23.060.491.261),(52.332.402.080),-23060491261.0,-52332402080.0
Tổng cộng,Tổng cộng,Tổng cộng,2.212.624.960.292,1.674.837.853.150,2212624960292.0,1674837853150.0
