row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị hợp lý VND,Số đầu năm (trình bày lại) > Giá gốc VND,Số đầu năm (trình bày lại) > Giá trị hợp lý VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số đầu năm (trình bày lại) > Giá gốc VND,numeric__Số đầu năm (trình bày lại) > Giá trị hợp lý VND
Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),573.611.017.959,1.355.733.972.000,814.610.060.866,1.450.302.936.241,573611017959.0,1355733972000.0,814610060866.0,1450302936241.0
VSC,VSC,VSC,44.725.223.998,50.970.695.000,175.885.933.796,204.374.352.000,44725223998.0,50970695000.0,175885933796.0,204374352000.0
TMS,TMS,TMS,107.326.574.160,211.426.560.000,113.028.048.762,246.273.781.100,107326574160.0,211426560000.0,113028048762.0,246273781100.0
OPC,OPC,OPC,113.376.260.629,233.773.800.000,113.218.396.107,151.464.696.600,113376260629.0,233773800000.0,113218396107.0,151464696600.0
DHC,DHC,DHC,48.060.985.032,102.335.269.400,42.189.091.850,64.455.037.500,48060985032.0,102335269400.0,42189091850.0,64455037500.0
SGN,SGN,SGN,188.296.511.801,673.461.151.200,204.116.454.286,562.729.138.440,188296511801.0,673461151200.0,204116454286.0,562729138440.0
HAH,HAH,HAH,26.089.630.020,19.228.100.000,26.089.635.366,24.868.239.300,26089630020.0,19228100000.0,26089635366.0,24868239300.0
SGC,SGC,SGC,1.514.960.064,4.670.640.000,1.524.936.566,4.622.340.000,1514960064.0,4670640000.0,1524936566.0,4622340000.0
CTD,CTD,CTD,21.309.357.211,31.435.255.500,107.474.155.061,127.765.695.000,21309357211.0,31435255500.0,107474155061.0,127765695000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,22.911.515.044,28.432.500.900,31.083.409.072,63.749.656.301,22911515044.0,28432500900.0,31083409072.0,63749656301.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,162.207.227.300,179.129.627.300,147.905.540.000,165.005.540.000,162207227300.0,179129627300.0,147905540000.0,165005540000.0
"Tổng Công ty Máy động lực và máy nông nghiệp Việt Nam (""VEAM"")","Tổng Công ty Máy động lực và máy nông nghiệp Việt Nam (""VEAM"")","Tổng Công ty Máy động lực và máy nông nghiệp Việt Nam (""VEAM"")",37.725.600.000,54.648.000.000,142.900.000.000,160.000.000.000,37725600000.0,54648000000.0,142900000000.0,160000000000.0
CTCP PAN Farm,CTCP PAN Farm,CTCP PAN Farm,53.408.921.300,53.408.921.300,-,-,53408921300.0,53408921300.0,,
CTCP Dược phẩm CVI,CTCP Dược phẩm CVI,CTCP Dược phẩm CVI,27.924.100.000,27.924.100.000,-,-,27924100000.0,27924100000.0,,
CTCP ConCung,CTCP ConCung,CTCP ConCung,28.109.556.000,28.109.556.000,-,-,28109556000.0,28109556000.0,,
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,15.039.050.000,15.039.050.000,5.005.540.000,5.005.540.000,15039050000.0,15039050000.0,5005540000.0,5005540000.0
Tổng cộng,Tổng cộng,Tổng cộng,735.818.245.259,1.534.863.599.300,962.515.600.866,1.615.308.476.241,735818245259.0,1534863599300.0,962515600866.0,1615308476241.0
