row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm nay VND,Năm trước VND,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
,,,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng",,,,,,,
01,01,01,1. Tiền thu bán chứng khoán môi giới cho khách hàng,,158.362.644.597.181,76.974.085.890.096,,,158362644597181.0,76974085890096.0
02,02,02,2. Tiền chi mua chứng khoán môi giới cho khách hàng,,(151.564.405.275.980),(82.179.697.180.977),,,-151564405275980.0,-82179697180977.0
07,07,07,3. Nhận tiền gửi để thanh toán giao dịch chứng khoán của khách hàng,,(4.094.047.857.546),7.335.183.804.235,,,-4094047857546.0,7335183804235.0
07.1,07.1,07.1,4. Tiền gửi ký quỹ của Nhà đầu tư tại VSD,,145.075.049.043,-,,,145075049043.0,
09,09,09,5. Chi trả phí lưu ký chứng khoán của khách hàng,,(11.620.149.721),(9.562.903.693),,,-11620149721.0,-9562903693.0
12,12,12,6. Tiền thu của Tổ chức phát hành chứng khoán,,1.893.296.516.813,177.843.005.200,,,1893296516813.0,177843005200.0
13,13,13,7. Tiền chi trả Tổ chức phát hành chứng khoán,,(2.345.252.169.108),(1.910.914.649.800),,,-2345252169108.0,-1910914649800.0
20,20,20,Tăng tiền thuần trong năm,,2.385.690.710.682,386.937.965.061,,,2385690710682.0,386937965061.0
30,30,30,II. Tiền và các khoản tương đương tiền đầu năm của khách hàng,,1.630.987.771.952,1.244.049.806.891,,,1630987771952.0,1244049806891.0
31,31,31,Tiền gửi ngân hàng đầu năm:,,1.630.987.771.952,1.244.049.806.891,,,1630987771952.0,1244049806891.0
32,32,32,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,,1.616.354.145.533,1.239.463.316.338,,,1616354145533.0,1239463316338.0
33,33,33,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,,5.034.657.285,2.192.903.193,,,5034657285.0,2192903193.0
35,35,35,- Tiền gửi của Tổ chức phát hành,,9.598.969.134,2.393.587.360,,,9598969134.0,2393587360.0
