row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước (trình bày lại) VND,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
Thu nhập hạch toán trực tiếp vào nguồn vốn chủ sở hữu,Thu nhập hạch toán trực tiếp vào nguồn vốn chủ sở hữu,Thu nhập hạch toán trực tiếp vào nguồn vốn chủ sở hữu,14.875.467.199,6.229.932.310,14875467199.0,6229932310.0
- Lãi từ đánh giá lại tài sản tài chính AFS và phân loại lại khi bán,- Lãi từ đánh giá lại tài sản tài chính AFS và phân loại lại khi bán,- Lãi từ đánh giá lại tài sản tài chính AFS và phân loại lại khi bán,-,6.229.932.310,,6229932310.0
- Lãi phát sinh do công ty liên kết thay đổi tỷ lệ đầu tư vào công ty con,- Lãi phát sinh do công ty liên kết thay đổi tỷ lệ đầu tư vào công ty con,- Lãi phát sinh do công ty liên kết thay đổi tỷ lệ đầu tư vào công ty con,14.509.242.199,-,14509242199.0,
- Lãi khác hạch toán trực tiếp vào nguồn vốn chủ sở hữu,- Lãi khác hạch toán trực tiếp vào nguồn vốn chủ sở hữu,- Lãi khác hạch toán trực tiếp vào nguồn vốn chủ sở hữu,366.225.000,-,366225000.0,
Chi phí hạch toán trực tiếp vào nguồn vốn chủ sở hữu,Chi phí hạch toán trực tiếp vào nguồn vốn chủ sở hữu,Chi phí hạch toán trực tiếp vào nguồn vốn chủ sở hữu,(14.970.631.308),(16.332.940.936),-14970631308.0,-16332940936.0
- Lỗ từ đánh giá lại tài sản tài chính AFS và phân loại lại khi bán,- Lỗ từ đánh giá lại tài sản tài chính AFS và phân loại lại khi bán,- Lỗ từ đánh giá lại tài sản tài chính AFS và phân loại lại khi bán,(14.896.631.308),-,-14896631308.0,
- Lỗ phát sinh do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,- Lỗ phát sinh do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,- Lỗ phát sinh do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,-,(12.421.041.327),,-12421041327.0
- Lỗ phát sinh do công ty liên kết thay đổi tỷ lệ đầu tư vào công ty con,- Lỗ phát sinh do công ty liên kết thay đổi tỷ lệ đầu tư vào công ty con,- Lỗ phát sinh do công ty liên kết thay đổi tỷ lệ đầu tư vào công ty con,-,(3.891.899.609),,-3891899609.0
- Lỗ khác hạch toán trực tiếp vào nguồn vốn chủ sở hữu,- Lỗ khác hạch toán trực tiếp vào nguồn vốn chủ sở hữu,- Lỗ khác hạch toán trực tiếp vào nguồn vốn chủ sở hữu,(74.000.000),(20.000.000),-74000000.0,-20000000.0
Tổng cộng,Tổng cộng,Tổng cộng,(95.164.109),(10.103.008.626),-95164109.0,-10103008626.0
