row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm (trình bày lại) > Ngày 01/01/2016 > VND,Số dư đầu năm (trình bày lại) > Ngày 01/01/2017 > VND,Số tăng/giảm > Năm trước (trình bày lại) > Tăng > VND,Số tăng/giảm > Năm trước (trình bày lại) > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31/12/2016(trình bày lại) > VND,Số dư cuối năm > Ngày 31/12/2017 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm (trình bày lại) > Ngày 01/01/2016 > VND,numeric__Số dư đầu năm (trình bày lại) > Ngày 01/01/2017 > VND,numeric__Số tăng/giảm > Năm trước (trình bày lại) > Tăng > VND,numeric__Số tăng/giảm > Năm trước (trình bày lại) > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31/12/2016(trình bày lại) > VND,numeric__Số dư cuối năm > Ngày 31/12/2017 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,28.2,4.825.142.703.161,4.927.409.917.200,106.289.284.881,(4.022.070.842),100.290.896.034,178.167.966,4.927.409.917.200,5.027.878.981.200,282.0,4825142703161.0,4927409917200.0,106289284881.0,-4022070842.0,100290896034.0,178167966.0,4927409917200.0,5027878981200.0
1.1. Cổ phiếu phổ thông,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU > 1.1. Cổ phiếu phổ thông,1.1. Cổ phiếu phổ thông,28.2,4.800.636.840.000,4.900.636.840.000,100.000.000.000,-,100.000.000.000,-,4.900.636.840.000,5.000.636.840.000,282.0,4800636840000.0,4900636840000.0,100000000000.0,,100000000000.0,,4900636840000.0,5000636840000.0
1.2. Thắng dư vốn cổ phần,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU > 1.2. Thắng dư vốn cổ phần,1.2. Thắng dư vốn cổ phần,28.2,29.285.860.000,29.265.860.000,-,(20.000.000),290.896.034,(74.000.000),29.265.860.000,29.482.756.034,282.0,29285860000.0,29265860000.0,,-20000000.0,290896034.0,-74000000.0,29265860000.0,29482756034.0
1.3. Vốn khác của chủ sở hữu,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU > 1.3. Vốn khác của chủ sở hữu,1.3. Vốn khác của chủ sở hữu,28.2,(4.609.514.439),-,8.611.585.281,(4.002.070.842),-,-,-,-,282.0,-4609514439.0,,8611585281.0,-4002070842.0,,,,
1.4. Cổ phiếu quỹ,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU > 1.4. Cổ phiếu quỹ,1.4. Cổ phiếu quỹ,28.2,(170.482.400),(2.492.782.800),(2.322.300.400),-,-,252.167.966,(2.492.782.800),(2.240.614.834),282.0,-170482400.0,-2492782800.0,-2322300400.0,,,252167966.0,-2492782800.0,-2240614834.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,28.2,268.076.952.217,311.560.605.893,43.483.653.676,-,43.851.792.903,-,311.560.605.893,355.412.398.796,282.0,268076952217.0,311560605893.0,43483653676.0,,43851792903.0,,311560605893.0,355412398796.0
3. Quỹ dự phòng tài chính và núi ro nghiệp vụ,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU > 3. Quỹ dự phòng tài chính và núi ro nghiệp vụ,3. Quỹ dự phòng tài chính và núi ro nghiệp vụ,28.2,183.569.357.533,227.053.011.209,43.483.653.676,-,43.851.792.903,-,227.053.011.209,270.904.804.112,282.0,183569357533.0,227053011209.0,43483653676.0,,43851792903.0,,227053011209.0,270904804112.0
4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,I. BIÊN ĐỒNG VỐN CHỦ SỞ HỮU > 4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,28.2,646.562.943.061,652.792.875.375,565.836.067.959,(559.606.135.645),607.628.548.568,(622.525.179.876),652.792.875.375,637.896.244.067,282.0,646562943061.0,652792875375.0,565836067959.0,-559606135645.0,607628548568.0,-622525179876.0,652792875375.0,637896244067.0
