row_label_raw,row_label_full,col_0,31/12/2016triệu đồng,31/12/2015triệu đồng,numeric__31/12/2016triệu đồng,numeric__31/12/2015triệu đồng
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,
Chứng khoán nợ,Chứng khoán đầu tư sẵn sàng để bán > Chứng khoán nợ,Chứng khoán nợ,24.887.886,22.978.623,24887886.0,22978623.0
Chứng khoán nợ Chính phủ,Chứng khoán đầu tư sẵn sàng để bán > Chứng khoán nợ Chính phủ,Chứng khoán nợ Chính phủ,17.862.228,18.666.461,17862228.0,18666461.0
- Tín phiếu Kho bạc Nhà nước,- Tín phiếu Kho bạc Nhà nước,- Tín phiếu Kho bạc Nhà nước,-,-,,
- Trái phiếu Chính phủ,- Tín phiếu Kho bạc Nhà nước > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,17.862.228,18.666.461,17862228.0,18666461.0
Chứng khoán nợ do các TCTD khác phát hành,- Tín phiếu Kho bạc Nhà nước > Chứng khoán nợ do các TCTD khác phát hành,Chứng khoán nợ do các TCTD khác phát hành,1.810.613,1.278.830,1810613.0,1278830.0
Chứng khoán nợ do các TCKT trong nước phát hành,- Tín phiếu Kho bạc Nhà nước > Chứng khoán nợ do các TCKT trong nước phát hành,Chứng khoán nợ do các TCKT trong nước phát hành,5.215.045,3.033.332,5215045.0,3033332.0
Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,-,-,,
,,,24.887.886,22.978.623,24887886.0,22978623.0
Dự phòng rủl ro chứng khoán đầu tư sẵn sang để bán,Dự phòng rủl ro chứng khoán đầu tư sẵn sang để bán,Dự phòng rủl ro chứng khoán đầu tư sẵn sang để bán,Dự phòng rủl ro chứng khoán đầu tư sẵn sang để bán,Dự phòng rủl ro chứng khoán đầu tư sẵn sang để bán,,
- Dự phòng giảm giá chứng khoán,- Dự phòng giảm giá chứng khoán,- Dự phòng giảm giá chứng khoán,-,-,,
- Dự phòng chung rủi ro chứng khoán,- Dự phòng giảm giá chứng khoán > - Dự phòng chung rủi ro chứng khoán,- Dự phòng chung rủi ro chứng khoán,(42.717),(30.271),-42717.0,-30271.0
- Dự phòng cụ thể rủi ro chứng khoán,- Dự phòng giảm giá chứng khoán > - Dự phòng cụ thể rủi ro chứng khoán,- Dự phòng cụ thể rủi ro chứng khoán,(95.396),(99.996),-95396.0,-99996.0
,,,(138.113),(130.267),-138113.0,-130267.0
,,,24.749.773,22.848.356,24749773.0,22848356.0
