row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiện vậntải và thiết bịtruyền đấnntriệu đồng,"Thiết bị, dụng cụquản lýtriệu đồng",TSCĐ hữu hìnhkháctriệu đồng,Tổng côngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiện vậntải và thiết bịtruyền đấnntriệu đồng,"numeric__Thiết bị, dụng cụquản lýtriệu đồng",numeric__TSCĐ hữu hìnhkháctriệu đồng,numeric__Tổng côngtriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,102.973,418.881,54.730,28.557,97.344,702.485,102973.0,418881.0,54730.0,28557.0,97344.0,702485.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,2.288,6.579,11.825,13.587,6.944,41.223,2288.0,6579.0,11825.0,13587.0,6944.0,41223.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
"Thanh lý, nhượng bán","Tăng khác > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.210),(153.017),-,(17.633),(26.012),(207.872),-11210.0,-153017.0,,-17633.0,-26012.0,-207872.0
Số dư cuối năm,Tăng khác > Số dư cuối năm,Số dư cuối năm,94.051,272.443,66.555,24.511,78.276,535.836,94051.0,272443.0,66555.0,24511.0,78276.0,535836.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,31.657,281.579,47.426,22.001,53.824,436.487,31657.0,281579.0,47426.0,22001.0,53824.0,436487.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,8.336,33.954,4.114,3.555,14.603,64.562,8336.0,33954.0,4114.0,3555.0,14603.0,64562.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.210),(152.913),-,(17.633),(26.012),(207.768),-11210.0,-152913.0,,-17633.0,-26012.0,-207768.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,28.783,162.620,51.540,7.923,42.415,293.281,28783.0,162620.0,51540.0,7923.0,42415.0,293281.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Tại ngày đầu năm,Giá trị còn lại của TSCĐ: > Tại ngày đầu năm,Tại ngày đầu năm,71.316,137.302,7.304,6.556,43.520,265.998,71316.0,137302.0,7304.0,6556.0,43520.0,265998.0
Tại ngày cuối năm,Giá trị còn lại của TSCĐ: > Tại ngày cuối năm,Tại ngày cuối năm,65.268,109.823,15.015,16.588,35.861,242.555,65268.0,109823.0,15015.0,16588.0,35861.0,242555.0
