row_label_raw,row_label_full,col_0,Giá trị số sách > 31/12/2016 triệu đồng,Giá trị số sách > 31/12/2015 triệu đồng,numeric__Giá trị số sách > 31/12/2016 triệu đồng,numeric__Giá trị số sách > 31/12/2015 triệu đồng
Bảo lãnh,Bảo lãnh,Bảo lãnh,8.656.170,5.101.698,8656170.0,5101698.0
Bắt động sản,Bắt động sản,Bắt động sản,77.352.608,68.341.945,77352608.0,68341945.0
Hàng hóa lưu kho,Hàng hóa lưu kho,Hàng hóa lưu kho,14.346.619,13.816.020,14346619.0,13816020.0
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,8.508.789,6.104.843,8508789.0,6104843.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,19.005.679,12.859.300,19005679.0,12859300.0
Quyền khai thác tài sản,Quyền khai thác tài sản,Quyền khai thác tài sản,15.811.058,9.238.717,15811058.0,9238717.0
"Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá",14.594.586,7.367.723,14594586.0,7367723.0
Tài sản đảm bảo khác,Tài sản đảm bảo khác,Tài sản đảm bảo khác,2.189.391,1.706.702,2189391.0,1706702.0
,,,160.464.900,124.536.948,160464900.0,124536948.0
