row_label_raw,row_label_full,col_0,Quá hạn,định lại lãi suất,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__định lại lãi suất,numeric__Đến 1 tháng,numeric__Từ 1 - 3 tháng,numeric__Từ 3 - 6 tháng,numeric__Từ 6 - 12 tháng,numeric__Từ 1 - 5 năm,numeric__Trên 5 năm,numeric__Tổng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt vàng bạc, đá qui","Tài sản > Tiền mặt vàng bạc, đá qui","Tiền mặt vàng bạc, đá qui",-,855.723,-,-,-,-,-,-,855.723,,855723.0,,,,,,,855723.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.015.092,-,-,-,-,-,4.015.092,,,4015092.0,,,,,,4015092.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,9.035.135,76.900,40.000,-,-,-,9.152.035,,,9035135.0,76900.0,40000.0,,,,9152035.0
Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,,,,,,,,,
tài chính khác,Các công cụ tài chính phải sinh và các tài sản > tài chính khác,tài chính khác,-,-,11.331,-,-,-,-,-,11.331,,,11331.0,,,,,,11331.0
Cho vay khách hàng (*),Các công cụ tài chính phải sinh và các tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),2.773.429,-,19.712.645,24.205.267,6.246.922,5.661.063,1.503.650,76.607,60.179.583,2773429.0,,19712645.0,24205267.0,6246922.0,5661063.0,1503650.0,76607.0,60179583.0
Chứng khoán đầu tư (*),Các công cụ tài chính phải sinh và các tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),250.000,2.622.495,434.309,431.267,2.840.004,3.111.594,15.201.442,2.661.650,27.552.761,250000.0,2622495.0,434309.0,431267.0,2840004.0,3111594.0,15201442.0,2661650.0,27552761.0
"Góp vốn, đầu tư dài hạn (*)","Các công cụ tài chính phải sinh và các tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,251.761,-,-,-,-,-,-,251.761,,251761.0,,,,,,,251761.0
Tài sản cố định và bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,371.338,-,-,-,-,-,-,371.338,,371338.0,,,,,,,371338.0
Tài sản cố khác (*),Các công cụ tài chính phải sinh và các tài sản > Tài sản cố khác (*),Tài sản cố khác (*),-,4.292.847,-,-,-,-,-,-,4.292.847,,4292847.0,,,,,,,4292847.0
Tổng tài sản,Các công cụ tài chính phải sinh và các tài sản > Tổng tài sản,Tổng tài sản,3.023.429,8.394.164,33.208.512,24.713.434,9.126.926,8.772.657,16.705.092,2.738.257,106.682.471,3023429.0,8394164.0,33208512.0,24713434.0,9126926.0,8772657.0,16705092.0,2738257.0,106682471.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,22.961.115,9.521.960,778.871,45,-,-,33.261.991,,,22961115.0,9521960.0,778871.0,45.0,,,33261991.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,82.036,29.141.642,14.946.737,7.983.317,4.452.789,2.957.002,-,59.563.523,,82036.0,29141642.0,14946737.0,7983317.0,4452789.0,2957002.0,,59563523.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD",,,,,,,,,
chịu rủi ro,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD > chịu rủi ro",chịu rủi ro,-,-,41.434,16.041,-,-,-,-,57.475,,,41434.0,16041.0,,,,,57475.0
Phát hành giấy tờ có giá,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD > Phát hành giấy tờ có giá",Phát hành giấy tờ có giá,-,-,-,-,-,470.000,1.530.000,-,2.000.000,,,,,,470000.0,1530000.0,,2000000.0
Các khoản nợ khác (*),"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD > Các khoản nợ khác (*)",Các khoản nợ khác (*),-,1.143.796,-,-,-,-,-,-,1.143.796,,1143796.0,,,,,,,1143796.0
