row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày31 tháng 12 năm 2016,Miền Nam triệu đồng,Miền Bắc triệu đồng,Miền Trung triệu đồng,Tổng bộ phận đãbảo cáotriệu đồng,Loại trừtriệu đồng,Tổng cộngtriệu đồng,numeric__Miền Nam triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Tổng bộ phận đãbảo cáotriệu đồng,numeric__Loại trừtriệu đồng,numeric__Tổng cộngtriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,2.356.259(1.410.815),2.440.073(961.173),495.458(309.739),5.291.790(2.681.727),-,5.291.790(2.681.727),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,,,,,,,,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,945.444,1.478.900,185.719,2.610.063,-,2.610.063,945444.0,1478900.0,185719.0,2610063.0,,2610063.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,231.475,502.973,32.708,767.156,-,767.156,231475.0,502973.0,32708.0,767156.0,,767156.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,1.176.919,1.981.873,218.427,3.377.219,-,3.377.219,1176919.0,1981873.0,218427.0,3377219.0,,3377219.0
TỔNG CHI PHÍ HOẠT BỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT BỘNG,TỔNG CHI PHÍ HOẠT BỘNG,(598.998),(1.368.235),(106.178),(2.073.411),-,(2.073.411),-598998.0,-1368235.0,-106178.0,-2073411.0,,-2073411.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,577.921,613.638,112.249,1.303.808,-,1.303.808,577921.0,613638.0,112249.0,1303808.0,,1303808.0
Chi phí dự phòng rủi ro tin dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tin dụng,Chi phí dự phòng rủi ro tin dụng,(166.438),(402.481),(37.208),(606.127),-,(606.127),-166438.0,-402481.0,-37208.0,-606127.0,,-606127.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,411.483,211.157,75.041,697.681,-,697.681,411483.0,211157.0,75041.0,697681.0,,697681.0
Tổng chi phí thuế thu nhập doanh nghiệp,Chi phí lãi và các chi phí tương tự > Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,-,(138.893),-,(138.893),-,(138.893),,-138893.0,,-138893.0,,-138893.0
LỢI NHUẬN THUẬN TRONG NĂM,Chi phí lãi và các chi phí tương tự > LỢI NHUẬN THUẬN TRONG NĂM,LỢI NHUẬN THUẬN TRONG NĂM,411.483,72.264,75.041,558.788,-,558.788,411483.0,72264.0,75041.0,558788.0,,558788.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,,,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền mặt và tiền gửi tại NHNN,TÀI SẢN > Tiền mặt và tiền gửi tại NHNN,Tiền mặt và tiền gửi tại NHNN,460.652,4.251.641,158.522,4.870.815,-,4.870.815,460652.0,4251641.0,158522.0,4870815.0,,4870815.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,6.675,9.139.802,5.558,9.152.035,-,9.152.035,6675.0,9139802.0,5558.0,9152035.0,,9152035.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,431,10.900,-,11.331,-,11.331,431.0,10900.0,,11331.0,,11331.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,27.672.645,24.852.574,6.639.122,59.164.341,-,59.164.341,27672645.0,24852574.0,6639122.0,59164341.0,,59164341.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,-,26.669.664,-,26.669.664,-,26.669.664,,26669664.0,,26669664.0,,26669664.0
"Gớp vốn, đầu tư dài hạn","TÀI SẢN > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",-,191.128,-,191.128,-,191.128,,191128.0,,191128.0,,191128.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,66.224,295.624,9.489,371.338,-,371.338,66224.0,295624.0,9489.0,371338.0,,371338.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,571.906,3.687.911,33.030,4.292.847,-,4.292.847,571906.0,3687911.0,33030.0,4292847.0,,4292847.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,28.778.533,69.099.244,6.845.721,104.723.499,-,104.723.499,28778533.0,69099244.0,6845721.0,104723499.0,,104723499.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,2,33.261.986,3,33.261.991,-,33.261.991,2.0,33261986.0,3.0,33261991.0,,33261991.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20.922.175,34.131.957,4.509.391,59.563.523,-,59.563.523,20922175.0,34131957.0,4509391.0,59563523.0,,59563523.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,57.475,-,57.475,-,57.475,,57475.0,,57475.0,,57475.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,2.000.000,-,2.000.000,-,2.000.000,,2000000.0,,2000000.0,,2000000.0
Nợ phải trả khác,NỘ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,896.516,68.944,178.336,1.143.796,-,1.143.796,896516.0,68944.0,178336.0,1143796.0,,1143796.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,21.818.693,69.520.362,4.687.730,96.026.785,-,96.026.785,21818693.0,69520362.0,4687730.0,96026785.0,,96026785.0
